module	dlib	ptfs	modid_only
BLSSPCCA	AOS32	UZ29043	N
BLSVSGTE	AOS32	UZ32044	N
IEAVAD0A	AOSC5	UZ25903	N
IEAVAR05	AOSC5	UY40025	N
IEAVEDR	AOSC5	UZ36461	Y
IEAVEES	AOSC5	UZ58916	N
IEAVEIPR	AOSC5	UZ34944	Y
IEAVEMS0	AOSC5	UZ18157	Y
IEAVEOR	AOSC5	UZ24351	N
IEAVEPC	AOSC5	UZ36571	Y
IEAVERI	AOSC5	UZ29943	Y
IEAVERP	AOSC5	UZ29943	N
IEAVESVC	AOSC5	UZ86400	Y
IEAVEVAL	AOSC5	UZ52628	N
IEAVEVT0	AOSC5	UZ18451	Y
IEAVFP	AOSC5	UZ28905	Y
IEAVFREE	AOSC5	UZ33993	N
IEAVITAS	AOSC5	UZ18480	Y
IEAVLK02	AOSC5	UZ69157	N
IEAVLK03	AOSC5	UZ69157	N
IEAVPCB	AOSC5	UZ53364	N
IEAVPFTE	AOSC5	UZ18479	Y
IEAVPREF	AOSC5	UZ33317	N
IEAVPRSB	AOSC5	UZ18479	Y
IEAVPSI	AOSC5	UZ34542	Y
IEAVRSM	AOSC5	UZ28909	Y
IEAVSETS	AOSC5	UZ35514	N
IEAVTRCE	AOSC5	UZ86400	Y
IEAVTRT1	AOSC5	UZ86400	Y
IEAVTRV	AOSC5	UZ31424	N
IEAVVCRX	AOSC5	UZ25695	Y
IECVPURG	AOSC5	UZ67425	Y
IEE4703D	AOSB3	UZ26628	Y
IEEMB876	AOSB3	UZ86400	Y
IEEMB877	AOSB3	UZ86400	Y
IEEMPVST	AOSC5	UZ36392	N
IEESTPRS	AOSC5	UZ28427	Y
IEEVJCL	AOSB3	UZ17306	Y
IEEVSDIO	AOST4	UZ39679	Y
IEEVSTAR	AOSB3	UZ17306	Y
IEFAB4F5	AOSB3	UZ69154	N
IEFJSSNT	AOSB3	UZ17694	Y
IEFU29	AOS00	UZ06226	Y
IEFVGI	AOSB3	UZ16511	Y
IEFVGK	AOSB3	UZ16511	Y
IEFVGM17	AOSB3	UZ16388	Y
IEFVGM76	AOSB3	UZ16388	Y
IEFVHN	AOSB3	UZ16511	Y
IGC0001G	ALPALIB	UZ18724	Y
IGCN510D	AOS21	UZ35493	N
IGFC70	AOSCE	UZ18940	Y
IGFC80	AOSCE	UZ18940	Y
IGG019R2	AOS21	UZ36497	N
IKJEBEDC	ACMDLIB	UZ09946	Y
ILRACT	AOSC5	UZ21112	N
