origin	library	load_module	csect	offset	length	text_frac	exclude
dlib	AOS11		AHLDMPMD		1373	0.15	
target	LPALIB	AHLSETD	AHLMCMSG	0x0010e8	66	0.06	
dlib	AOS11		AHLTDSP		3666	0.19	
dlib	AOS11		AHLTIO		2877	0.15	
dlib	AOS11		AHLTLSR		3666	0.19	
dlib	AOS11		AHLTPI		3666	0.19	
dlib	AOS11		AHLTSIO1		2877	0.15	
dlib	AOS11		AHLTSRB		3666	0.19	
dlib	AOS11		AHLTUIO		2877	0.15	
dlib	AOS11		AHLWTOMD		1373	0.15	
target	LINKLIB	AMASPZAP	AMASZCON	0x001858	4402	0.47	
target	LINKLIB	AMASPZAP	AMASZDMP	0x001490	964	0.15	
target	LINKLIB	AMASPZAP	AMASZIOR	0x002990	3046	0.30	
dlib	AOS12		AMBLKCTL		10309	0.28	
dlib	AOS12		AMBLKERR		1029	0.20	
dlib	AOS12		AMBLKIDR		7230	0.26	
dlib	AOS12		AMBLKLDM		4605	0.23	
dlib	AOS12		AMBLKLPA		1461	0.29	
dlib	AOS12		AMBLKMSG		2049	0.76	
dlib	AOS12		AMBLKOBJ		3942	0.23	
dlib	AOS12		AMBLKSZE		645	0.13	
dlib	AOS12		AMBLKXRF		10721	0.24	
target	LINKLIB	AMDPRMST	AMDPRBIT	0x001240	436	0.82	
target	LINKLIB	AMDPRXED	AMDPRCON	0x003fe8	2960	0.17	
target	LINKLIB	AMDPRDMP	AMDPREND	0x0060e0	822	0.18	
target	LINKLIB	AMDPRFSR	AMDPRFDB	0x002c30	2188	0.24	
target	LINKLIB	AMDPRFSR	AMDPRFIO	0x0034c0	1180	0.39	
target	LINKLIB	AMDPRFSR	AMDPRFLD	0x002580	1708	0.18	
target	LINKLIB	AMDPRFSR	AMDPRFMS	0x0022e0	668	0.38	
target	LINKLIB	AMDPRFSR	AMDPRFRB	0x001948	2456	0.26	
dlib	AOS12		AMDPRFSR		12672	0.24	
target	LINKLIB	AMDPRFSR	AMDPRFTC	0x0013f0	1368	0.27	
target	LINKLIB	AMDPRDMP	AMDPRGFR	0x0073a0	768	0.26	
target	LINKLIB	AMDPRDMP	AMDPRMSC	0x005250	3721	0.14	
target	LINKLIB	AMDPRDMP	AMDPRMSG	0x007148	596	0.56	
target	LINKLIB	AMDPRMST	AMDPRMSM	0x001070	458	0.52	
target	LINKLIB	AMDPRPJB	AMDPRPJX	0x000980	90	0.81	
target	LINKLIB	AMDPRPMS	AMDPRPMX	0x0015e8	230	0.30	
target	LINKLIB	AMDPRDMP	AMDPRSTP	0x007820	448	0.41	
target	LINKLIB	AMDPRDMP	AMDPRSYN	0x006eb8	656	0.23	
target	LINKLIB	AMDPRDMP	AMDPRTSV	0x0076a0	384	0.40	
target	LINKLIB	AMDPRDMP	AMDPRWTR	0x0067f0	1732	0.30	
target	LINKLIB	AMDPRDMP	AMDPRXIT	0x006418	981	0.48	
target	LINKLIB	AMDPRDMP	AMDRDCMG	0x0079e0	434	0.20	
target	LINKLIB	AMDPRDMP	AMDUIMMG	0x007b98	550	0.09	
dlib	AOSD0		AMDUSRFF		10730	0.73	
target	LINKLIB	IEBCOMPR	ANALY	0x004bd8	1793	0.12	
dlib	AOSG0		ANLZ		1005	0.33	
dlib	AOS07		BCNV		1177	0.19	
target	CMDLIB	LISTBC	BCPARS1	0x0007a8	78	0.17	
target	LINKLIB	IEDQXB	BLCK	0x005100	256	0.00	
target	CMDLIB	BLSUINI1	BLSDIFPC	0x0009e0	621	0.70	
target	CMDLIB	BLSR3270	BLSR327A	0x0006c8	6424	0.29	
target	CMDLIB	BLSUPUT	BLSR327W	0x003458	400	1.00	
target	CMDLIB	BLSRCOPY	BLSRCOPC	0x000b58	603	0.26	
target	CMDLIB	BLSRDUSC	BLSRDUPC	0x000810	37	0.89	
target	CMDLIB	BLSRSALI	BLSRSALP	0x000a78	1084	0.48	
target	CMDLIB	BLSRST00	BLSRSTPC	0x000fb8	333	0.90	
target	CMDLIB	BLSRSUMM	BLSRSUPC	0x0019a0	426	0.52	
dlib	AOS29		BNGIDCBA		970	0.17	
target	LINKLIB	BNGLOGER	BNGLOGER	0x000000	12444	0.17	
target	VTAMLIB	BSPLIN01	BSPLIN01	0x000000	328	0.09	
target	VTAMLIB	BSPLMT01	BSPLMT01	0x000000	536	0.14	
target	LPALIB	BSPLMT02	BSPLMT02	0x000000	4232	0.19	
target	VTAMLIB	BSPUDT01	BSPUDT01	0x000000	1636	0.32	
target	LINKLIB	IEDQXB	BUFF	0x001000	2048	0.12	
target	LPALIB	IGC0023C	CELLPOOL	0x001120	371	0.14	
target	CMDLIB	TEST	CHKDSNM	0x00acc0	152	0.20	
target	CMDLIB	IKJEHDS1	CIROUTN	0x0012c0	236	0.11	
target	LINKLIB	ICHSEC00	CJYRCVT	0x000000	922	0.20	
target	LINKLIB	RAKFPROF	CJYRPROF	0x000000	2880	0.36	
target	LINKLIB	RAKFUSER	CJYRUIDS	0x000000	2268	0.30	
target	SVCLIB	CMDDUMMY	CMDDUMMY	0x000000	4096	0.01	
target	LINKLIB	IEBCOMPR	COMPARE	0x0024d0	1584	0.27	
target	LINKLIB	IEDQXB	COPY	0x005200	256	0.15	
target	LPALIB	IGC0023C	CORESRVC	0x001298	184	0.43	
target	LPALIB	ISTINCSH	CSHMDTAB	0x000170	52	0.38	
target	LINKLIB	IEDQXB	DCBE	0x005600	256	0.03	
target	LPALIB	DCM010	DCM010	0x000000	2912	0.09	
target	LINKLIB	IDCRI04	DDNPCL	0x003778	40	1.00	
target	LPALIB	IGC0023C	DDTDEL	0x002478	409	0.21	
target	LPALIB	IGC0023C	DDTLOAD	0x002618	736	0.22	
target	LPALIB	IGC0023C	DDTSCRN	0x001350	2780	0.13	
target	LPALIB	IGC0023C	DDTSVC01	0x000000	376	0.39	
target	LPALIB	IGC0023C	DDTSVC02	0x000178	3832	0.13	
target	LPALIB	DEVMASKT	DEVMASKT	0x000000	3224	0.02	
target	LPALIB	DEVNAMET	DEVNAMET	0x000000	412	0.16	
target	LINKLIB	VMCPCMD	DIAG08	0x0002d0	528	0.40	ambiguous-length
target	LINKLIB	IDCRI04	DSGPCL	0x003800	38	1.00	
target	LINKLIB	IDCRI04	DSGPCL2	0x0038c0	38	0.00	
target	LINKLIB	IDCRI04	DSGVPCL	0x003828	53	0.98	
target	LINKLIB	IDCRI04	DSGVPCL2	0x0038e8	53	0.00	
target	LINKLIB	IDCRI04	DSNPCL	0x0037a0	38	1.00	
target	LINKLIB	IDCRI04	DSNPCL2	0x003860	38	0.00	
target	LINKLIB	IDCRI04	DSVPCL	0x0037c8	53	1.00	
target	LINKLIB	IDCRI04	DSVPCL2	0x003888	53	0.00	
target	LPALIB	IEFEDTTB	EDTTAB	0x0000c0	3908	0.15	
target	LPALIB	ETHLOGON	ETHLOGON	0x000000	1052	0.24	
target	LPALIB	ETHLOGVM	ETHLOGVM	0x000000	1552	0.23	
target	LPALIB	EXHRDFLT	EXHRDFLT	0x000000	916	0.11	
target	TELCMLIB	IEDQFE	FEVECTOR	0x000000	48	0.33	
target	LPALIB	IGC0023C	FINDCDE	0x0028f8	240	0.14	
target	CMDLIB	IKJEHDS1	FREEFILE	0x001260	90	0.23	
dlib	AOSG0		GARC		2653	0.11	
dlib	AOSG0		GCGRID		1669	0.12	
dlib	AOSG0		GCPRNT		1469	0.10	
dlib	AOST4		GENTRANS		5053	0.11	
target	LPALIB	IGC0023C	GETDA	0x001e30	257	0.09	
target	LPALIB	IGC0023C	GETSYM	0x0029e8	820	0.23	
dlib	AOSG0		GLABEL		2045	0.12	
dlib	AOSG0		GOFFSG		1093	0.14	
dlib	AOSG0		GPGRID		4213	0.13	
dlib	AOSG0		GPVGRD		3733	0.13	
dlib	AOSD0		GRAFSPC1		565	0.07	
dlib	AOSG0		GSDPLT		4293	0.12	
dlib	AOS07		GSP01		3762	0.05	
dlib	AOSG0		GSPLOT		3565	0.13	
dlib	AOSG0		GSTOR		749	0.26	
dlib	AOSG0		GSVPLT		3077	0.12	
dlib	AOSG0		GVARC		3125	0.12	
target	LINKLIB	HASJES20	HASPACCT	0x0158b0	365	0.20	
target	LINKLIB	HASJES20	HASPCOMA	0x024d10	26445	0.21	
