csect	seclen	code	reached_code	self	roots	base	acon
AHLMCMSG	66	10	0	0.0000	1	r15+balr	0
AMASZCON	4402	249	0	0.0000	1	r15+balr	0
AMASZDMP	964	963	26	0.0270	1	r15+balr	0
AMASZIOR	3046	2280	22	0.0096	1	r15+balr	0
AMDPRBIT	436	276	266	0.9638	1	r15+balr	0
AMDPRCON	2960	2292	174	0.0759	4	r15+balr	0
AMDPREND	822	518	404	0.7799	1	r15+balr	0
AMDPRFDB	2188	1496	1442	0.9639	1	r15+balr	0
AMDPRFIO	1180	854	506	0.5925	1	r15+balr	0
AMDPRFLD	1708	1276	334	0.2618	1	r15+balr	0
AMDPRFMS	668	348	302	0.8678	1	r15+balr	0
AMDPRFRB	2456	1916	1702	0.8883	1	r15+balr	0
AMDPRFSR	1868	1514	1366	0.9022	1	r15+balr	0
AMDPRFTC	1368	600	332	0.5533	2	r15+balr	0
AMDPRGFR	768	490	460	0.9388	1	r15+balr	0
AMDPRMSC	3721	3042	190	0.0625	1	r15+balr	0
AMDPRMSG	596	320	150	0.4688	1	r15+balr	0
AMDPRMSM	458	40	0	0.0000	1	r15+balr	0
AMDPRPJX	90	36	0	0.0000	1	r15+balr	0
AMDPRPMX	230	33	0	0.0000	1	r15+balr	0
AMDPRSTP	448	222	196	0.8829	1	r15+balr	0
AMDPRSYN	656	398	236	0.5930	1	r15+balr	0
AMDPRTSV	384	258	32	0.1240	1	r15+balr	0
AMDPRWTR	1732	1443	720	0.4990	1	r15+balr	0
AMDPRXIT	981	394	28	0.0711	1	r15+balr	0
AMDRDCMG	434	26	0	0.0000	1	r15+balr	0
AMDUIMMG	550	76	0	0.0000	1	r15+balr	0
ANALY	1793	1480	1288	0.8703	3	r15+balr	0
BCPARS1	78	26	0	0.0000	1	r15+balr	0
BLCK	256	78	78	1.0000	1	r15+balr	0
BLSDIFPC	621	120	0	0.0000	1	r15+balr	0
BLSR327A	6424	5128	150	0.0293	1	r15+balr	0
BLSR327W	400	126	0	0.0000	1	r15+balr	0
BLSRCOPC	603	50	0	0.0000	1	r15+balr	0
BLSRDUPC	37	4	0	0.0000	1	r15+balr	0
BLSRSALP	1084	150	2	0.0133	1	r15+balr	0
BLSRSTPC	333	40	0	0.0000	1	r15+balr	0
BLSRSUPC	426	86	0	0.0000	1	r15+balr	0
BNGIDCBA	536	236	200	0.8475	2	r15+balr	0
BNGLOGER	12444	7093	1865	0.2629	1	r15+balr	0
BSPLIN01	328	134	0	0.0000	1	r15+balr	0
BSPLMT01	536	36	0	0.0000	1	r15+balr	0
BSPLMT02	4232	416	0	0.0000	1	r15+balr	0
BSPUDT01	1636	248	0	0.0000	1	r15+balr	0
BUFF	2048	1014	20	0.0197	1	r15+balr	0
CELLPOOL	371	344	96	0.2791	1	r15+balr	0
CHKDSNM	152	127	127	1.0000	1	r15+balr	0
CIROUTN	236	153	151	0.9869	1	r15+balr	0
CJYRCVT	922	310	148	0.4774	1	r15+balr	0
CJYRPROF	2880	1154	276	0.2392	1	r15+balr	0
CJYRUIDS	2268	942	288	0.3057	1	r15+balr	0
CMDDUMMY							
COMPARE	1584	816	460	0.5637	2	r15+balr	0
COPY	256	8	8	1.0000	1	r15+balr	0
CORESRVC	184	159	140	0.8805	1	r15+balr	0
CSHMDTAB							
DCBE	256	88	0	0.0000	1	r15+balr	0
DCM010	2912	144	2	0.0139	2	r15+balr	0
DDNPCL	40	6	0	0.0000	1	r15+balr	0
DDTDEL	409	374	352	0.9412	1	r15+balr	0
DDTLOAD	736	538	470	0.8736	1	r15+balr	0
DDTSCRN	2780	2490	4	0.0016	1	r15+balr	0
DDTSVC01	376	280	4	0.0143	1	r15+balr	0
DDTSVC02	3832	3490	3132	0.8974	1	r15+balr	0
DEVMASKT	3224	72	0	0.0000	1	r15+balr	0
DEVNAMET	412	208	0	0.0000	1	r15+balr	0
DSGPCL	38	4	0	0.0000	1	r15+balr	0
DSGPCL2	38	4	0	0.0000	1	r15+balr	0
