csect	offset	length
AMASPZAP	0x000000	4
AMASPZAP	0x00001A	28
AMASPZAP	0x000044	34
AMASPZAP	0x000068	50
AMASPZAP	0x00009C	8
AMASPZAP	0x0000A6	4
AMASPZAP	0x0000AC	4
AMASPZAP	0x0000B2	12
AMASPZAP	0x0000C0	8
AMASPZAP	0x0000CA	12
AMASPZAP	0x0000D8	8
AMASPZAP	0x0000E2	6
AMASPZAP	0x0000F0	2
AMASPZAP	0x0000F4	4
AMASPZAP	0x0000FC	10
AMASPZAP	0x000108	8
AMASPZAP	0x000112	4
AMASPZAP	0x000118	4
AMASPZAP	0x000120	16
AMASPZAP	0x000132	42
AMASPZAP	0x000160	122
AMASPZAP	0x0001DC	76
AMASPZAP	0x00022A	14
AMASPZAP	0x00023A	12
AMASPZAP	0x000248	12
AMASPZAP	0x000256	16
AMASPZAP	0x000268	8
AMASPZAP	0x000272	8
AMASPZAP	0x00027C	18
AMASPZAP	0x000290	8
AMASPZAP	0x00029A	8
AMASPZAP	0x0002A4	8
AMASPZAP	0x0002AE	8
AMASPZAP	0x0002B8	8
AMASPZAP	0x0002C2	28
AMASPZAP	0x0002E0	10
AMASPZAP	0x0002EC	16
AMASPZAP	0x0002FE	8
AMASPZAP	0x000308	4
AMASPZAP	0x00034C	24
AMASPZAP	0x000366	4
AMASPZAP	0x00036C	14
AMASPZAP	0x00037C	24
AMASPZAP	0x000396	4
AMASPZAP	0x00039C	102
AMASPZAP	0x000404	4
AMASPZAP	0x00040A	34
AMASPZAP	0x00042E	4
AMASPZAP	0x000434	28
AMASPZAP	0x000452	108
AMASPZAP	0x0004C0	4
AMASPZAP	0x0004C6	4
AMASPZAP	0x0004CC	4
AMASPZAP	0x0004D2	4
AMASPZAP	0x0004D8	8
AMASPZAP	0x0004E2	4
AMASPZAP	0x0004E8	4
AMASPZAP	0x0004EE	16
AMASPZAP	0x000500	84
AMASPZAP	0x000556	20
AMASPZAP	0x00056C	6
AMASPZAP	0x000574	4
AMASPZAP	0x00057A	70
AMASPZAP	0x0005C2	48
AMASPZAP	0x0005F4	58
AMASPZAP	0x000630	6
AMASPZAP	0x000638	52
AMASPZAP	0x00066E	8
AMASPZAP	0x000678	4
AMASPZAP	0x00067E	8
AMASPZAP	0x000688	8
AMASPZAP	0x000692	12
AMASPZAP	0x0006A0	8
AMASPZAP	0x0006AA	8
AMASPZAP	0x0006B4	4
AMASPZAP	0x0006BA	12
AMASPZAP	0x0006C8	8
AMASPZAP	0x0006D2	8
AMASPZAP	0x0006DC	4
AMASPZAP	0x0006E2	42
AMASPZAP	0x00070E	12
AMASPZAP	0x00071C	4
AMASPZAP	0x000722	4
AMASPZAP	0x000728	4
AMASPZAP	0x00072E	4
AMASPZAP	0x000734	80
AMASPZAP	0x000786	8
AMASPZAP	0x000790	16
AMASPZAP	0x0007A2	8
AMASPZAP	0x0007AC	4
AMASPZAP	0x0007B2	8
AMASPZAP	0x0007BC	12
AMASPZAP	0x0007CA	94
AMASPZAP	0x00082A	28
AMASPZAP	0x000848	44
AMASPZAP	0x000876	116
AMASPZAP	0x0008EC	8
AMASPZAP	0x0008F6	34
AMASPZAP	0x00091A	8
AMASPZAP	0x000924	8
AMASPZAP	0x00092E	16
AMASPZAP	0x000940	8
AMASPZAP	0x00094A	32
AMASPZAP	0x00096C	8
AMASPZAP	0x000976	4
AMASPZAP	0x00097C	8
AMASPZAP	0x000986	4
AMASPZAP	0x00098C	12
AMASPZAP	0x00099A	4
AMASPZAP	0x0009A0	4
AMASPZAP	0x0009A6	100
AMASPZAP	0x000A0C	16
AMASPZAP	0x000A1E	24
AMASPZAP	0x000A38	58
AMASPZAP	0x000A74	20
AMASPZAP	0x000A8A	16
AMASPZAP	0x000A9C	28
AMASPZAP	0x000ABA	4
AMASPZAP	0x000AC0	24
AMASPZAP	0x000ADA	14
AMASPZAP	0x000AEA	6
AMASPZAP	0x000AF2	8
AMASPZAP	0x000AFC	4
AMASPZAP	0x000B02	12
AMASPZAP	0x000B10	4
AMASPZAP	0x000B16	4
AMASPZAP	0x000B1C	56
AMASPZAP	0x000B56	14
AMASPZAP	0x000B66	4
AMASPZAP	0x000B6C	12
AMASPZAP	0x000B7A	26
AMASPZAP	0x000B96	26
AMASPZAP	0x000BB2	20
AMASPZAP	0x000BC8	6
AMASPZAP	0x000BD0	70
AMASPZAP	0x000C18	4
AMASPZAP	0x000C1E	16
AMASPZAP	0x000C30	20
AMASPZAP	0x000C46	14
AMASPZAP	0x000C56	10
AMASPZAP	0x000C62	74
AMASPZAP	0x000CAE	80
AMASPZAP	0x000D00	288
AMASPZAP	0x000E22	22
AMASPZAP	0x000E3A	34
AMASPZAP	0x000E5E	18
AMASPZAP	0x000E72	8
AMASPZAP	0x000E7C	8
AMASPZAP	0x000E86	4
AMASPZAP	0x000E8C	58
AMASPZAP	0x000EC8	94
AMASPZAP	0x000F28	56
AMASPZAP	0x000F62	4
AMASPZAP	0x000F68	8
AMASPZAP	0x000F72	80
AMASPZAP	0x000FC4	8
AMASPZAP	0x000FCE	88
AMASPZAP	0x001028	4
AMASPZAP	0x00102E	4
AMASPZAP	0x001034	12
AMASPZAP	0x001042	40
AMASPZAP	0x00106C	8
AMASPZAP	0x001076	4
AMASPZAP	0x00107C	14
AMASPZAP	0x00108C	92
AMASPZAP	0x0010EA	4
AMASPZAP	0x0010F0	16
AMASPZAP	0x001102	8
AMASPZAP	0x00110C	4
AMASPZAP	0x001114	6
AMASPZAP	0x00111C	84
AMASPZAP	0x001172	70
AMASPZAP	0x0011BA	44
AMASPZAP	0x0011E8	40
AMASPZAP	0x001212	6
AMASPZAP	0x001222	82
AMASPZAP	0x001276	4
AMASPZAP	0x00127C	4
AMASPZAP	0x001282	4
AMASPZAP	0x001288	4
AMASPZAP	0x00128E	34
AMASPZAP	0x0012B2	8
AMASPZAP	0x0012BC	4
AMASPZAP	0x0012C2	4
AMASPZAP	0x0012C8	60
AMASPZAP	0x001306	4
AMASPZAP	0x00130C	4
AMASPZAP	0x001312	4
AMASPZAP	0x001318	4
AMASPZAP	0x00131E	4
AMASPZAP	0x001324	28
AMASPZAP	0x001342	8
AMASPZAP	0x00134C	48
AMASPZAP	0x001386	34
BLSCAMER	0x000000	4
BLSCAMER	0x000016	84
BLSCAMER	0x00006C	24
BLSCAMER	0x000086	28
BLSCAMER	0x0000A4	70
BLSCAMER	0x0000EC	88
BLSCAMER	0x000146	4
BLSCAMER	0x00014C	30
BLSCAMER	0x00016C	24
BLSCAMER	0x000186	74
BLSCAMER	0x0001D2	294
BLSCAMER	0x0002FA	142
BLSCAMER	0x00038A	292
BLSCAMER	0x0004B0	108
BLSCAMER	0x00051E	4
BLSEMDPR	0x000000	4
BLSEMDPR	0x000016	96
BLSEMDPR	0x000078	16
BLSEMDPR	0x00008A	12
BLSEMDPR	0x000098	46
BLSEMDPR	0x0000C8	22
