csect	self	code	seclen	library	load_module	text_frac
BLCK	1.000	78	256	LINKLIB	IEDQXB	0.00
CHKDSNM	1.000	127	152	CMDLIB	TEST	0.20
COPY	1.000	8	256	LINKLIB	IEDQXB	0.15
FREEFILE	1.000	89	90	CMDLIB	IKJEHDS1	0.23
HEWLFDEF	1.000	6	24	LINKLIB	HEWLF064	0.17
IEA0EF03	1.000	894	954	NUCLEUS	IEANUC01	0.20
IEALIMIT	1.000	22	28	NUCLEUS	IEANUC01	0.07
IEDIAP03	1.000	144	168	TELCMLIB	IEDIAP03	0.19
IEDIAP04	1.000	88	111	TELCMLIB	IEDIAP03	0.00
IEDIAP05	1.000	90	113	TELCMLIB	IEDIAP03	0.27
IEDIAP06	1.000	98	118	TELCMLIB	IEDIAP03	0.43
IEDQXC01	1.000	33	34	LINKLIB	IEDQXC	0.15
IEEMB850	1.000	26	28	LINKLIB	IEEVIPL	0.14
IEFJESNM	1.000	6	44	LINKLIB	IEEVIPL	0.27
IEHPROGA	1.000	150	156	LINKLIB	IEHPROGM	0.01
IFNX5A20	1.000	78	112	LINKLIB	IFOX51	0.15
IFNX5A50	1.000	114	156	LINKLIB	IFOX51	0.13
IGC037	1.000	152	180	NUCLEUS	IEANUC01	0.08
IGC043	1.000	210	238	NUCLEUS	IEANUC01	0.19
IGG0213Z	1.000	246	302	LPALIB	IGG0203Z	0.06
IKJEHDS2	1.000	91	92	CMDLIB	IKJEHDS1	0.35
IKJEHRN3	1.000	91	92	CMDLIB	IKJEHREN	0.08
INPR	1.000	18	256	LINKLIB	IEDQXB	0.00
LINE	1.000	34	256	LINKLIB	IEDQXB	0.36
MSGSECT	1.000	2	37	LINKLIB	IEHMVESV	0.16
OUTR	1.000	18	256	LINKLIB	IEDQXB	0.00
SYND	1.000	116	256	LINKLIB	IEDQXB	0.01
IGC123	0.998	992	1048	NUCLEUS	IEANUC01	0.17
IKJEHBSC	0.995	424	500	CMDLIB	IKJEHDS1	0.34
IKJEHVHS	0.994	336	542	CMDLIB	IKJEHAL1	0.18
IKJEBIN8	0.993	1658	1725	CMDLIB	E	0.17
RDCDRT	0.991	1466	1575	LINKLIB	IEHMVESJ	0.13
IEFSD064	0.990	1328	1456	LPALIB	IEFSD060	0.23
IKJEBEWR	0.989	924	938	CMDLIB	IKJEBEAA	0.12
IECSTATA	0.989	358	380	LPALIB	IGE0025D	0.09
CIROUTN	0.987	153	236	CMDLIB	IKJEHDS1	0.11
IEFSD061	0.987	2834	3191	LPALIB	IEFSD060	0.42
IGC0H06C	0.986	1458	1697	LPALIB	IGC0H06C	0.13
IKJEHSTA	0.985	535	616	CMDLIB	IKJEHDS1	0.19
IGC0G06C	0.985	1326	1482	LPALIB	IGC0G06C	0.15
IEHLISTC	0.984	1282	1288	LINKLIB	IEHLIST	0.17
IKJEBEDS	0.983	468	490	CMDLIB	IKJEBEAA	0.13
IEHMVSSR	0.983	580	908	LINKLIB	IEHMVESR	0.12
IKJEBEDU	0.982	448	466	CMDLIB	IKJEBEAA	0.13
IEA0EF00	0.981	214	272	NUCLEUS	IEANUC01	0.09
IKJEBELO	0.981	536	540	CMDLIB	IKJEBEAA	0.13
IGC0905B	0.980	1018	1201	LPALIB	IGC0905B	0.14
HEWLIDEN	0.979	384	432	LINKLIB	HEWLOADR	0.12
IKJEBEWS	0.976	332	416	CMDLIB	IKJEBEAA	0.09
IKJEHLBL	0.975	876	1032	CMDLIB	IKJEHDS1	0.26
IKJCT441	0.975	1254	1352	LPALIB	IKJPTGT	0.13
HEWLCTRL	0.973	524	696	LINKLIB	HEWLDRGO	0.14
IGC0005B	0.973	668	902	LPALIB	IGC0005B	0.13
IEAXKDXR	0.973	662	704	LINKLIB	IEAXPDXR	0.09
IKJEHRN4	0.973	438	440	CMDLIB	IKJEHREN	0.08
IEDQWV	0.972	1866	2270	LINKLIB	IEDQWAC	0.12
IGGR19CG	0.971	276	348	LPALIB	IGG019CG	0.11
IKJEHSTS	0.970	270	364	CMDLIB	IKJEHAL1	0.21
IKJEHVSM	0.970	332	448	CMDLIB	IKJEHDS1	0.15
IGC0106C	0.970	1184	1358	LPALIB	IGC0106C	0.11
IGC0A06C	0.969	450	520	LPALIB	IGC0A06C	0.11
IGC0001A	0.968	1076	1240	LPALIB	IGC0001A	0.10
IEFSD062	0.967	2098	2428	LPALIB	IEFSD060	0.22
IKJEBEDL	0.966	293	296	CMDLIB	IKJEBEAA	0.11
IGC0705B	0.965	1262	1460	LPALIB	IGC0705B	0.12
IGC0206C	0.964	562	674	LPALIB	IGC0206C	0.13
AMDPRFDB	0.964	1496	2188	LINKLIB	AMDPRFSR	0.24
AMDPRBIT	0.964	276	436	LINKLIB	AMDPRMST	0.82
IEHMVSSQ	0.963	1390	1706	LINKLIB	IEHMVESQ	0.16
IKJEGBLD	0.963	373	392	CMDLIB	TEST	0.12
IEADQIQE	0.962	156	184	NUCLEUS	IEANUC01	0.12
IKJEFF17	0.962	986	1176	LINKLIB	IKJEFF04	0.37
IKJEBERR	0.959	244	248	CMDLIB	IKJEBEAA	0.08
IKJEBMA2	0.957	231	272	CMDLIB	IKJEBEMA	0.11
IKJEBERB	0.956	183	200	CMDLIB	IKJEBEAA	0.07
IKJEHHST	0.955	400	568	CMDLIB	IKJEHAL1	0.36
IKJEGMN1	0.952	355	360	CMDLIB	TEST	0.12
IKJEBEWB	0.952	165	184	CMDLIB	IKJEBEAA	0.14
IEAVTPUT	0.951	850	886	LINKLIB	IEAVMASV	0.12
IGC0505B	0.951	930	1089	LPALIB	IGC0505B	0.14
IEFSD066	0.949	1088	1192	LPALIB	IEFSD060	0.15
IDA019R3	0.948	270	452	LPALIB	IDA019L1	0.14
IKJEHHIS	0.945	506	916	CMDLIB	IKJEHDS1	0.29
IKJEBEWP	0.943	176	240	CMDLIB	IKJEBEAA	0.09
DDTDEL	0.941	374	409	LPALIB	IGC0023C	0.21
IKJEBIN3	0.941	170	242	CMDLIB	E	0.45
IKJEBEAD	0.940	133	152	CMDLIB	IKJEBEAA	0.51
IKJEGFLT	0.939	2290	2352	CMDLIB	TEST	0.31
AMDPRGFR	0.939	490	768	LINKLIB	AMDPRDMP	0.26
IGC0Q06C	0.939	910	1034	LPALIB	IGC0Q06C	0.14
IEHLISTD	0.935	4716	4900	LINKLIB	IEHLIST	0.17
IGC0205B	0.935	644	710	LPALIB	IGC0205B	0.13
IKJEBEDR	0.933	150	152	CMDLIB	IKJEBEAA	0.03
IKJEBMA3	0.933	150	212	CMDLIB	IKJEBEMA	0.15
IEHMVSSK	0.928	642	760	LINKLIB	IEHMVESK	0.16
HEWLRELO	0.928	3946	4460	LINKLIB	HEWLOADR	0.18
IEHMVSST	0.921	1905	2376	LINKLIB	IEHMVEST	0.18
FINDCDE	0.919	223	240	LPALIB	IGC0023C	0.14
IEHMVSSN	0.912	1608	2189	LINKLIB	IEHMVESN	0.17
USERLAB	0.907	1136	1411	LINKLIB	IEBCOMPR	0.69
GETDA	0.903	226	257	LPALIB	IGC0023C	0.09
IGC0F06C	0.903	596	633	LPALIB	IGC0F06C	0.16
AMDPRFSR	0.902	1514	1868	AOS12	-	0.24
HASPACCT	0.901	302	365	LINKLIB	HASJES20	0.20
