module	library	section	dlib_len	obj_len	verdict
AHLMCIH	AOSC5	AHLMCIH	288	288	EQUAL
AHLTMON	AOS11	AHLTMON	2160	2183	LEN_DIFF
AHLTPMT	AOS11	AHLTPMT	4020	3948	LEN_DIFF
AHLTSCN	AOS11	AHLTSCN	1568	1540	LEN_DIFF
AMDPREID	AOS12	AMDPREID	176	176	EQUAL
AMDPRFRM	AOS12	AMDPRFRM	2574	2557	LEN_DIFF
AMDPRSCN	AOS12	AMDPRSCN	4656	4716	LEN_DIFF
AMDSAGTF	AOS12	AMDSAGTF	916	916	EQUAL
AMDSAUCB	AOS12	AMDSAUCB	835	720	LEN_DIFF
BLSCANLI	AOS32	BLSCANLI	776	776	EQUAL
BLSCPOIN	AOS32	BLSCPOIN	736	736	EQUAL
BLSFTL00	AOS32	BLSFTL00	648	648	EQUAL
BLSRACC	AOS32	BLSRACC	520	520	EQUAL
BLSUZZ2D	AOS32	BLSUZZ2D	136	136	EQUAL
BLSUZZ2R	AOS32	BLSUZZ2R	96	96	EQUAL
BLSVASCB	AOS32	BLSVASCB	3152	3861	LEN_DIFF
HEWLFESD	AOS04	HEWLFESD	2003	1992	LEN_DIFF
HEWLFOPT	AOS04	HEWLFOPT	2140	2108	LEN_DIFF
HMASMAR1	AOS12	HMASMAR1	5200	5200	EQUAL
HMASMBUR	AOS12	HMASMBUR	4552	4552	EQUAL
HMASMRCC	AOS12	HMASMRCC	1320	1320	EQUAL
HMASMSTA	AOS12	HMASMSTA	728	728	EQUAL
IASFCB26	AOSD0	FCB26	69		DLIB_ONLY
IASFCB26	AOSD0	IASFCB26		69	OBJ_ONLY
ICGDSB16	AOSD0	ICGDSB16	952	728	LEN_DIFF
ICKTSBI0	AOSU0	ICKTSBI0	1763	1763	EQUAL
IDA019SM	AOSA0	IDA019SM	402	402	EQUAL
IDA019SU	AOSA0			0	OBJ_ONLY
IDA019SU	AOSA0	IDA019SU	4120	3704	LEN_DIFF
IDCMP01	AOSU0	IDCMP01	22494	21974	LEN_DIFF
IDCRC02	AOSU0	IDCRC02	12910	12942	LEN_DIFF
IDCRS07	AOSU0	IDCRS07	8764	8764	EQUAL
IDCTSDE0	AOSU0	IDCTSDE0	2165	2165	EQUAL
IEAVAD11	AOSC5	IEAVAD11	518	526	LEN_DIFF
IEAVEDR	AOSC5	IEAVEDR	664	680	LEN_DIFF
IEAVEEXT	AOSC5	IEAVEEXT	736	736	EQUAL
IEAVEUPC	AOSC5	IEAVEUPC	6	6	EQUAL
IEBUPDTE	AOSU0			0	OBJ_ONLY
IEBUPDTE	AOSU0	IEBUPDTE	776	772	LEN_DIFF
IEDAY2	AOST3	IEDAY2	696	732	LEN_DIFF
IEDBITN	AOS21	IEDBITN	739	444	LEN_DIFF
IEDQ27	AOS21	IEDQ27	516	516	EQUAL
IEDQB7	AOS21	IEDQB7	284	276	LEN_DIFF
IEDQEC	AOS21	IEDQEC	2246	2162	LEN_DIFF
IEDQNX	AOS21	IEDQNX	1688	1656	LEN_DIFF
IEDQWID	AOS21	IEDQWID	1676	1676	EQUAL
IEDSCPRQ	AOS21	IEDSCPRQ	764	720	LEN_DIFF
IEDUNBND	AOS21	IEDUNBND	724	648	LEN_DIFF
IEE4303D	AOSB3	IEE4303D	662	666	LEN_DIFF
IEEPRWI2	AOSB3	IEEPRWI2	648	624	LEN_DIFF
IEEVPTH	AOSC5	IEEVPTH	6018	5630	LEN_DIFF
IEFAB457	AOSB3	IEFAB457	3629	3436	LEN_DIFF
IEFAB49C	AOSB3	IEFAB49C	338	338	EQUAL
IEFAB4EA	AOSB3	IEFAB4EA	576	576	EQUAL
IEFDB450	AOSB3	IEFDB450	2187	2187	EQUAL
IEFDB4FA	AOSB3	IEFDB4FA	370	370	EQUAL
IEFJDSNA	AOSB3	IEFJDSNA	211	211	EQUAL
IEFJWTOM	AOSB3	IEFJWTOM	472	508	LEN_DIFF
IEFVGM	AOSB3	IEFVGM	1360	1344	LEN_DIFF
IEHDSCAN	AOSU0	IEHDSCAN	2891	2891	EQUAL
IEHMVSSF	AOSU0	IEHVOLMT	3108	2840	LEN_DIFF
IEHMVSTC	AOSU0			0	OBJ_ONLY
IEHMVSTC	AOSU0	IEHMVSTC	1788	1706	LEN_DIFF
IEHMVSTC	AOSU0	MSGSECT	37	37	EQUAL
