BLSCAMOD	via:ACB,BLSCAMMM,RPL
BLSCENDD	via:SHOWCB
BLSCERSE	via:SHOWCB
BLSCGETT	via:SHOWCB
BLSCPOIN	via:SHOWCB
BLSCPUTT	via:SHOWCB
BLSR3270	via:BLSR327A
BLSRDUDR	via:GENCB
BLSRDULS	via:GENCB
BLSRESAR	via:GENCB
BLSRESDR	via:GENCB
BLSRESGC	via:GENCB
BLSRESPU	via:GENCB
BLSRLSYM	via:GENCB
BLSRPHAR	via:GENCB
BLSRPHGE	via:GENCB
BLSRRAAR	via:GENCB,MODCB
BLSRRAGE	via:GENCB
BLSRRDAR	via:GENCB
BLSRRDGE	via:GENCB
BLSRRDPU	via:GENCB,MODCB
BLSRSAAR	via:GENCB
BLSRSADE	via:GENCB
BLSRSAGC	via:GENCB
BLSRSALI	via:GENCB
BLSRSAPU	via:GENCB
BLSRSCAN	via:GENCB
BLSRVSLD	via:GENCB
BLSUVSAR	via:MODCB,SHOWCB
BLSUVSCR	via:GENCB
BLSUVSMR	via:MODCB
BLSUVSOQ	via:GENCB
ICBVIN00	via:ACB
ICBVRR00	via:ACB
IDA019C1	via:ACB,RPL
IEAVNP11	via:ACB
IEEMB803	via:ACB
IEEMB805	via:RPL
IEFJSWT	via:ACB,RPL
IKJCT462	via:ACB,RPL
IKJEFF15	via:ACB,RPL
IKJEFP00	via:IKJEFPWA
IKJEFP03	via:IKJEFPWA
IKJEFP20	via:IKJEFPWA
IKJEFP30	via:IKJEFPWA
IKJEFP40	via:IKJEFPWA
IKTCAS21	via:ACB,RPL,SHOWCB
IKTCAS23	via:RPL
IKTIMIDS	via:RPL
IKTIMLU2	via:RPL
IKTLTERM	via:RPL
IKTOMIDS	via:RPL
IKTOMLU2	via:RPL
IKTTIMRT	via:RPL
IKTTOMRT	via:RPL
IKTXINIT	via:ACB,RPL
ILRTMI00	via:GENCB,MODCB,SHOWCB
ILRVSAMI	via:GENCB,MODCB,SHOWCB
ISTATM00	via:ACB
ISTCFCDP	via:RPL
ISTIC000	via:ACB,RPL
ISTINCOS	via:ACB
ISTINCR4	via:ACB,RPL
ISTINCR6	via:ACB,RPL
ISTINCVP	via:RPL
ISTINCW0	via:RPL
ISTINCX9	via:RPL
ISTNSC00	via:NETSOL
ISTSC029	via:RPL
ISTSC030	via:RPL
ISTSC033	via:RPL
