module	dlib	state	tk5_rmid	ce_rmid	bytes_tk5	bytes_ce	bytes_equal	v_tk5	v_ce	sect_tk5	sect_ce	diff_tk5	diff_ce	len_tk5	len_ce
AHLCWRIT	AOS11	rmid-differs	UZ48441	UZ79327	8757	8705	N	differs	differs	1	1	0	0	Y	Y
AHLGTFI	AOS11	same	UZ79012	UZ79012	7585	7585	N	differs	differs	1	1	0	0	Y	Y
AHLIWRIT	AOS11	rmid-differs	UZ48441	UZ79327	7081	7021	N	differs	differs	1	1	0	0	Y	Y
AHLMCER	AOS11	same	UZ58627	UZ58627	1923	1923	Y	differs	differs	3	3	0	0	Y	Y
AHLMCIH	AOSC5	same	FBB1221	FBB1221	769	769	Y	identical	identical	1	1	0	0	N	N
AHLREADR	AOS11	same	EBB1102	EBB1102	1469	1469	Y	differs	differs	2	2	23	23	N	N
AHLSBLOK	AOS11	same	EBB1102	EBB1102	1353	1353	Y	differs	differs	1	1	15	15	N	N
AHLSBUF	AOS11	same	UZ31786	UZ31786	1845	1845	Y	differs	differs	1	1	0	0	Y	Y
AHLSCAN	AOS11	same	EBB1102	EBB1102	2661	2661	Y	differs	differs	1	1	110	110	N	N
AHLSETD	AOS11	same	EBB1102	EBB1102	1421	1421	Y	differs	differs	1	1	17	17	N	N
AHLSETMG	AOS11	same	EBB1102	EBB1102	501	501	Y	differs	differs	1	1	2	2	N	N
AHLT103	AOS11	same	FBB1221	FBB1221	2013	2013	Y	differs	differs	1	1	0	0	Y	Y
AHLTCTL1	AOS11	same	EBB1102	EBB1102	3381	3381	Y	identical	identical	1	1	0	0	N	N
AHLTCTL2	AOS11	same	EBB1102	EBB1102	4565	4565	Y	identical	identical	1	1	0	0	N	N
AHLTDIR	AOS11	same	UZ29737	UZ29737	1369	1369	Y	differs	differs	1	1	0	0	Y	Y
AHLTEXT	AOS11	same	EBB1102	EBB1102	2033	2033	Y	differs	differs	1	1	27	27	N	N
AHLTFOR	AOS11	same	EBB1102	EBB1102	3685	3685	Y	identical	identical	1	1	0	0	N	N
AHLTMMSG	AOS11	same	EBB1102	EBB1102	917	917	Y	differs	differs	1	1	16	16	N	N
AHLTMON	AOS11	same	UZ79011	UZ79011	2769	2769	Y	differs	differs	1	1	0	0	Y	Y
AHLTPID	AOS11	same	UZ31161	UZ31161	3666	3666	Y	differs	differs	1	1	0	0	Y	Y
AHLTPMT	AOS11	same	UZ24221	UZ24221	4497	4497	Y	differs	differs	1	1	0	0	Y	Y
AHLTSCN	AOS11	same	FBB1221	FBB1221	2001	2001	Y	differs	differs	1	1	0	0	Y	Y
