DLIB     | TK5 mods  base  PTFed |  CE mods  base  PTFed
------------------------------------------------------------------
ACMDLIB  |      160    60    100 |      160    74     86
AFTPDLOD |        0     0      0 |        1     1      0
AHTTPLOD |        0     0      0 |        5     5      0
ALPALIB  |       27    11     16 |       27    11     16
AOS00    |       17    12      5 |       17    12      5
AOS03    |       37    11     26 |       37    22     15
AOS04    |       22     0     22 |       22     0     22
AOS05    |        5     3      2 |        5     5      0
AOS06    |       87    64     23 |       87    65     22
AOS07    |       70    36     34 |       70    49     21
AOS11    |       39    19     20 |       39    20     19
AOS12    |      209    57    152 |      209    61    148
AOS20    |      115    38     77 |      115    52     63
AOS21    |      517   193    324 |      517   194    323
AOS24    |      244   170     74 |      244   170     74
AOS26    |      363   224    139 |      363   224    139
AOS29    |       22     4     18 |       22     4     18
AOS32    |      350   242    108 |      350   243    107
AOSA0    |      178    30    148 |      178    36    142
AOSA1    |        2     2      0 |        2     2      0
AOSB0    |       10     0     10 |       10     0     10
AOSB3    |      392   223    169 |      391   237    154
AOSC2    |        2     2      0 |        2     2      0
AOSC5    |      538   237    301 |      538   246    292
AOSC6    |       36    19     17 |       36    22     14
AOSCA    |       14     5      9 |       14     6      8
AOSCD    |      220   219      1 |      220   219      1
AOSCE    |       61    36     25 |       61    36     25
AOSD0    |      650   279    371 |      649   316    333
AOSD7    |       43    19     24 |       43    21     22
AOSD8    |      116    69     47 |      116    72     44
AOSG0    |       40    20     20 |       40    20     20
AOSH1    |        4     4      0 |        4     4      0
AOSH3    |       18     7     11 |       18     7     11
AOST3    |      104    36     68 |      104    37     67
AOST4    |      132    38     94 |      132    45     87
AOSU0    |      470   250    220 |      470   297    173
ASMPTEST |        0     0      0 |        1     1      0
AUFSDLOD |        0     0      0 |        4     4      0
