kind	module	dlib	tk5_rmid	ce_rmid	len_tk5	len_ce	verdict	ndiff
divergent	AHLCWRIT	AOS11	UZ48441	UZ79327	8757	8705	len-diff	5802
divergent	AHLIWRIT	AOS11	UZ48441	UZ79327	7081	7021	len-diff	5121
divergent	AHLTSLIP	AOS11	UZ61726	UZ36952	7817	7809	len-diff	5306
divergent	AHLWTO	AOS11	UZ60842	FBB1221	1373	1337	len-diff	989
divergent	AHLWWRIT	AOS11	UY14400	UZ79327	9173	9081	len-diff	7031
divergent	AKJLKL01	ACMDLIB	UZ71478	UZ34914	10587	10569	len-diff	9134
divergent	AMDPRGET	AOS12	UY47701	UZ62809	5285	5317	len-diff	4110
divergent	AMDSAUCB	AOS12	UZ54894	FBB1221	1341	1297	len-diff	1020
divergent	AMDSYS01	AOS12	UZ47317	UZ79292	12201	12233	len-diff	9466
divergent	BLSFLD00	AOS32	UZ57960	EIP1102	1972	1968	len-diff	1602
divergent	BLSRCOMP	AOS32	UZ58904	UZ28623	5271	5168	len-diff	4568
divergent	BLSRDUIN	AOS32	UZ58273	UZ56228	1774	1758	len-diff	941
divergent	BLSRSUTC	AOS32	UZ60529	UZ54003	3325	3334	len-diff	2859
divergent	BNGLOGR2	AOS29	UZ62117	UZ36925	13218	13210	len-diff	3387
divergent	HASPACCT	AOSH3	UZ60375	UZ37263	758	686	len-diff	330
divergent	HASPCOMM	AOSH3	UZ79531	UZ54837	34524	34092	len-diff	31843
divergent	HASPCON	AOSH3	UZ76165	UZ37263	2938	2878	len-diff	859
divergent	HASPINIT	AOSH3	UZ76165	UZ54837	46474	46202	len-diff	38226
divergent	HASPMISC	AOSH3	UZ79531	UZ54837	15850	15674	len-diff	14093
divergent	HASPNUC	AOSH3	UZ77164	UZ54837	24550	24150	len-diff	16278
divergent	HASPPRPU	AOSH3	UZ76165	UZ54837	35250	34006	len-diff	33098
divergent	HASPRDR	AOSH3	UZ77164	UZ54837	15190	12774	len-diff	13937
divergent	HASPRTAM	AOSH3	UZ79531	UZ54837	37774	36686	len-diff	32843
divergent	HASPSSSM	AOSH3	UZ77164	UZ54837	37618	36630	len-diff	34134
divergent	HASPXEQ	AOSH3	UZ76165	UZ54837	17174	16814	len-diff	15457
divergent	HEWLDIOC	AOS05	UZ72791	EPM1102	6334	5917	len-diff	5836
divergent	HEWLDLIB	AOS05	UZ64372	EPM1102	5094	4981	len-diff	4528
divergent	HEWLFADA	AOS04	UZ74418	UZ37156	3350	3334	len-diff	2037
divergent	HEWLFAPT	AOS04	UZ69717	UZ37156	1366	1422	len-diff	161
divergent	HEWLFBTP	AOS04	UZ75395	UZ37156	5118	5022	len-diff	3634
divergent	HEWLFEND	AOS04	UZ69717	UZ37156	998	998	content-diff	49
divergent	HEWLFENS	AOS04	UZ69717	UZ37156	1214	1214	content-diff	60
divergent	HEWLFENT	AOS04	UZ69717	UZ37156	1110	1110	content-diff	45
divergent	HEWLFESD	AOS04	UZ69717	UZ37156	2538	2554	len-diff	1095
divergent	HEWLFFNL	AOS04	UZ69717	UZ37156	3414	3374	len-diff	1065
