fmid	product	tk5_status	ce_status
EAS1102	XF Assembler (Assembler F)	REC ACC RGN	REC ACC RGN
EBB1102	Base Control Program (BCP)	REC ACC RGN	REC ACC RGN
EBT1102	BTAM — Basic Telecommunications Access Method	REC ACC RGN	REC ACC RGN
EDE1102	DEMF — Display Exception Monitoring Facility	REC ACC RGN	REC ACC RGN
EDM1102	Data Management	REC ACC RGN	REC ACC RGN
EDS1102	Data Management Support	REC ACC RGN	REC ACC RGN
EER1400	EREP — Environmental Record Editing & Printing	REC ACC RGN	REC ACC RGN
EGA1102	GAM/GPS — Graphic Access Method / Graphic Program Service	REC ACC RGN	REC ACC RGN
EGS1102	GSP — Graphic Subroutine Package	REC ACC RGN	REC ACC RGN
EIP1102	IPCS — Interactive Problem Control System	REC ACC RGN	REC ACC RGN
EJE1103	JES2 (with 3800 Enhancements)	REC ACC RGN	REC ACC RGN
EMF1102	MF/1 — System Activity Measurement Facility	REC ACC RGN	REC ACC RGN
EMI1102	MICR/OCR	REC ACC RGN	REC ACC RGN
EML1102	MLWS — Multi-Leaving Work Station	REC ACC RGN	REC ACC RGN
EMS1102	MSS — Mass Storage System	REC ACC RGN	REC ACC RGN
EPM1102	Program Management (Linkage Editor / Loader)	REC ACC RGN	REC ACC RGN
EST1102	System Support	REC ACC RGN	REC ACC RGN
ESU1102	SU Bit String (Selectable-Unit level indicator)	REC ACC RGN	REC ACC RGN
ESY1400	SMP — System Modification Program (SMP4)	REC ACC RGN	REC ACC RGN
ETC0108	TCAM — Telecommunications Access Method	REC ACC RGN	REC ACC RGN
ETI1106	TIOC — Terminal I/O Controller	REC ACC RGN	REC ACC RGN
ETV0108	TSO/VTAM	REC ACC RGN	REC ACC RGN
EUT1102	Utilities	REC ACC RGN	REC ACC RGN
EVT0108	VTAM	REC ACC RGN	REC ACC RGN
EXW1102	XWTR — External Writer	REC ACC RGN	REC ACC RGN
FBB1221	MVS Processor Support 2	REC ACC RGN	REC ACC RGN
FDM1133	3800 Enhancements — Data Management	REC ACC RGN	REC ACC RGN
FDS1122	MVS Processor Support 2	REC ACC RGN	REC ACC RGN
FDS1133	3800 Enhancements — Data Management Support	REC ACC RGN	REC ACC RGN
FDZ1610	DSF — Device Support Facility (ICKDSF)	REC ACC RGN	REC ACC RGN
FUT1133	3800 Enhancements — Utilities	REC ACC RGN	REC ACC RGN
MINIGEN	TK5 mini-sysgen marker (build customizations, no modules)	REC APP	
TFTP100	FTPD — FTP server (mvslovers)		REC APP ACC
THTP400	HTTPD — HTTP server (mvslovers)		REC APP ACC
TRKF120	RAKF — RACF-compatible security (v1.2.0)	REC APP ACC	
TRKF126	RAKF — RACF-compatible security (v1.2.6)		REC APP ACC
TSMP100	SMP4 self-test / sample (SMPTEST)		REC APP ACC
TUFS120	UFSD — Unix-like virtual filesystem (mvslovers)		REC APP ACC
