module	distlib	tk5_rmid	ce_rmid	state
ABEND0C1	AHTTPLOD		THTP400	only-CE
AHLCWRIT	AOS11	UZ48441	UZ79327	rmid-differs
AHLGTFI	AOS11	UZ79012	UZ79012	same
AHLIWRIT	AOS11	UZ48441	UZ79327	rmid-differs
AHLMCER	AOS11	UZ58627	UZ58627	same
AHLMCIH	AOSC5	FBB1221	FBB1221	same
AHLREADR	AOS11	EBB1102	EBB1102	same
AHLSBLOK	AOS11	EBB1102	EBB1102	same
AHLSBUF	AOS11	UZ31786	UZ31786	same
AHLSCAN	AOS11	EBB1102	EBB1102	same
AHLSETD	AOS11	EBB1102	EBB1102	same
AHLSETEV	AOS11	UZ59072	UZ59072	same
AHLSETMG	AOS11	EBB1102	EBB1102	same
AHLT103	AOS11	FBB1221	FBB1221	same
AHLTCTL1	AOS11	EBB1102	EBB1102	same
AHLTCTL2	AOS11	EBB1102	EBB1102	same
AHLTDIR	AOS11	UZ29737	UZ29737	same
AHLTEXT	AOS11	EBB1102	EBB1102	same
AHLTFOR	AOS11	EBB1102	EBB1102	same
AHLTMMSG	AOS11	EBB1102	EBB1102	same
AHLTMON	AOS11	UZ79011	UZ79011	same
AHLTPID	AOS11	UZ31161	UZ31161	same
AHLTPMT	AOS11	UZ24221	UZ24221	same
AHLTSCN	AOS11	FBB1221	FBB1221	same
AHLTSIO	AOS11	FBB1221	FBB1221	same
AHLTSLIP	AOS11	UZ61726	UZ36952	rmid-differs
AHLTSVC	AOS11	UZ38061	UZ38061	same
AHLTSYFL	AOS11	EBB1102	EBB1102	same
AHLTSYSM	AOS11	FBB1221	FBB1221	same
AHLTTAB	AOS11	EBB1102	EBB1102	same
AHLTUSR	AOS11	UZ35279	UZ35279	same
AHLTVTAM	AOS11	UZ90122	UZ90122	same
AHLTXSYS	AOS11	EBB1102	EBB1102	same
AHLVCOFF	AOS11	UZ24956	UZ24956	same
AHLVCON	AOS11	UZ24956	UZ24956	same
AHLWRMSG	AOS11	EBB1102	EBB1102	same
AHLWTASK	AOS11	UZ70539	UZ70539	same
AHLWTMSG	AOS11	EBB1102	EBB1102	same
AHLWTO	AOS11	UZ60842	FBB1221	rmid-differs
AHLWWRIT	AOS11	UY14400	UZ79327	rmid-differs
AKJLKL01	ACMDLIB	UZ71478	UZ34914	rmid-differs
AKJLKL02	ACMDLIB	UZ34914	UZ34914	same
AKJLKMSG	ACMDLIB	UZ54575	UZ54575	same
AMAPTF01	AOS12	EBB1102	EBB1102	same
AMAPTF02	AOS12	EBB1102	EBB1102	same
AMAPTFLE	AOS12	EBB1102	EBB1102	same
AMASPZAP	AOS12	UZ32524	UZ32524	same
AMDPRAPP	AOS12	UZ60057	UZ60057	same
AMDPRCOM	AOS12	UZ52471	UZ52471	same
AMDPRCTL	AOS12	UZ57439	UZ57439	same
AMDPRCVT	AOS12	FBB1221	FBB1221	same
AMDPRDPS	AOS12	UZ21709	UZ21709	same
