sysmod	tk5_applied	tk5_accepted	ce_applied	ce_accepted
RRKF001	1	1	0	0
RRKF002	1	1	0	0
RRKF003	1	1	0	0
RRKF004	1	1	0	0
RRKF005	1	1	0	0
RRKF006	1	1	0	0
RRKF007	1	0	0	0
RRKF008	1	0	0	0
RRKF009	1	0	0	0
UR13349	1	1	1	1
UR15994	1	1	1	1
UR17644	1	1	1	1
UR19590	1	1	1	1
USMP001	0	0	1	0
UY00293	1	1	0	0
UY00372	1	1	0	0
UY00729	1	1	0	0
UY00891	1	1	0	0
UY01018	1	1	0	0
UY01186	1	1	1	0
UY01301	1	1	1	0
UY01743	1	1	0	0
UY01975	1	1	0	0
UY02270	1	1	0	0
UY02271	1	1	0	0
UY02385	1	1	0	0
UY02859	1	1	1	0
UY02947	1	1	1	0
UY03022	1	1	0	0
UY03099	1	1	0	0
UY03106	1	1	0	0
UY03187	1	1	0	0
UY03283	1	1	0	0
UY03346	1	1	0	0
UY03471	1	1	0	0
UY04130	1	1	0	0
UY04882	1	1	0	0
UY05101	1	1	0	0
UY05119	1	1	0	0
UY05260	1	1	0	0
UY06583	1	1	0	0
UY06637	1	1	0	0
UY06697	1	1	0	0
UY07083	1	1	0	0
UY07104	1	1	1	0
UY07264	1	1	0	0
UY07656	1	1	0	0
UY07976	1	1	0	0
UY08308	1	1	0	0
UY08628	1	1	0	0
UY08801	1	1	0	0
UY08805	1	1	0	0
UY09172	1	1	0	0
UY09531	1	1	0	0
UY09721	1	1	0	0
UY09934	1	1	0	0
UY10582	1	1	0	0
UY10657	1	1	1	1
UY11554	1	1	0	0
UY11736	1	1	0	0
UY11778	1	1	0	0
UY11838	1	1	0	0
UY11943	1	1	0	0
UY12210	1	1	0	0
UY12602	1	1	0	0
UY12664	1	1	0	0
UY12811	1	1	0	0
UY13091	1	1	1	0
UY13425	1	1	0	0
UY13431	1	1	0	0
UY13810	1	1	1	0
UY14400	1	1	0	0
UY14769	1	1	0	0
UY15207	1	1	0	0
UY15787	1	1	0	0
UY16087	1	1	0	0
UY16532	1	1	1	0
UY17021	1	1	1	0
UY17414	1	1	0	0
UY17588	1	1	1	0
UY17760	1	1	0	0
UY20282	1	1	0	0
UY20289	1	1	0	0
UY20325	1	1	0	0
UY21852	1	1	0	0
UY22333	1	1	0	0
UY24918	1	1	0	0
UY25532	1	1	0	0
UY27599	1	1	0	0
UY28299	1	1	0	0
UY28452	1	1	0	0
UY29952	1	1	0	0
UY29953	1	1	1	0
UY30864	1	1	0	0
UY31192	1	1	0	0
UY31727	1	1	0	0
UY31757	1	1	0	0
UY32723	1	1	0	0
UY32725	1	1	0	0
UY33436	1	1	0	0
UY34388	1	1	0	0
UY35469	1	1	0	0
UY37061	1	1	0	0
UY38165	1	1	0	0
UY38623	1	1	0	0
UY39539	1	1	0	0
UY39686	1	1	0	0
UY40025	1	1	0	0
UY43678	1	1	0	0
UY43689	1	1	0	0
UY47701	1	1	0	0
UY49149	1	1	0	0
UY55885	1	1	0	0
UY61527	1	1	0	0
UY65386	1	1	0	0
UY74903	1	1	0	0
UY76392	1	1	0	0
UY76720	1	1	0	0
UY77102	1	1	0	0
UY77697	1	1	0	0
UY78248	1	1	0	0
UY85819	1	1	0	0
UY86189	1	1	0	0
UZ38207	1	1	0	0
UZ38213	1	1	0	0
UZ38262	1	1	0	0
UZ38302	1	1	0	0
UZ38355	1	1	0	0
UZ38392	1	1	0	0
UZ38393	1	1	0	0
UZ38395	1	1	0	0
UZ38421	1	1	0	0
UZ38478	1	1	0	0
UZ38523	1	1	0	0
UZ38699	1	1	0	0
UZ38763	1	1	0	0
UZ38803	1	1	0	0
UZ38810	1	1	0	0
UZ38932	1	1	0	0
UZ38989	1	1	0	0
UZ38998	1	1	0	0
UZ39009	1	1	0	0
UZ39057	1	1	0	0
UZ39100	1	1	0	0
UZ39136	1	1	0	0
UZ39347	1	1	0	0
UZ39442	1	1	0	0
UZ39584	1	1	0	0
UZ39631	1	1	0	0
UZ39662	1	1	0	0
UZ39935	1	1	0	0
UZ40024	1	1	0	0
UZ40222	1	1	0	0
UZ40304	1	1	0	0
UZ40444	1	1	0	0
UZ40565	1	1	0	0
UZ40804	1	1	0	0
UZ40855	1	1	0	0
UZ41208	1	1	0	0
UZ41209	1	1	0	0
UZ41342	1	1	0	0
UZ41374	1	1	0	0
UZ41399	1	1	0	0
UZ41437	1	1	0	0
UZ41573	1	1	0	0
UZ41707	1	1	0	0
UZ41714	1	1	0	0
UZ41764	1	1	0	0
UZ42140	1	1	0	0
UZ42622	1	1	1	0
UZ42627	1	1	0	0
UZ42656	1	1	0	0
UZ42671	1	1	0	0
UZ42826	1	1	0	0
UZ42856	1	1	0	0
UZ42857	1	1	0	0
UZ42921	1	1	0	0
UZ43063	1	1	0	0
UZ43283	1	1	0	0
UZ44086	1	1	0	0
UZ44111	1	1	0	0
UZ44133	1	1	0	0
UZ44177	1	1	1	0
UZ44184	1	1	0	0
UZ44270	1	1	0	0
UZ44378	1	1	0	0
UZ44479	1	1	0	0
UZ44548	1	1	0	0
UZ44753	1	1	1	0
UZ44846	1	1	0	0
UZ45029	1	1	0	0
UZ45157	1	1	1	0
UZ45158	1	1	1	0
UZ45173	1	1	0	0
UZ45189	1	1	0	0
UZ45363	1	1	0	0
UZ45387	1	1	0	0
UZ45726	1	1	0	0
UZ45794	1	1	1	1
UZ45903	1	1	0	0
UZ46135	1	1	0	0
UZ46193	1	1	0	0
UZ46194	1	1	0	0
UZ46415	1	1	0	0
UZ47024	1	1	0	0
UZ47187	1	1	0	0
UZ47243	1	1	0	0
UZ47247	1	1	0	0
UZ47249	1	1	0	0
UZ47317	1	1	0	0
UZ47349	1	1	0	0
UZ47406	1	1	0	0
UZ47438	1	1	0	0
UZ47545	1	1	0	0
UZ47564	1	1	0	0
UZ47575	1	1	1	0
UZ47740	1	1	0	0
UZ47741	1	1	0	0
UZ47795	1	1	0	0
UZ47871	1	1	1	0
UZ48270	1	1	0	0
UZ48373	1	1	1	0
UZ48384	1	1	1	0
UZ48441	1	1	0	0
UZ48456	1	1	0	0
UZ48523	1	1	0	0
UZ48524	1	1	0	0
UZ48744	1	1	1	0
UZ48765	1	1	1	0
UZ48810	1	1	0	0
UZ48820	1	1	0	0
UZ48970	1	1	0	0
UZ49382	1	1	0	0
UZ49510	1	1	0	0
UZ49895	1	1	0	0
UZ49959	1	1	0	0
UZ49996	1	1	0	0
UZ50033	1	1	0	0
UZ50178	1	1	0	0
UZ50248	1	1	0	0
UZ50293	1	1	0	0
UZ50509	1	1	0	0
UZ50553	1	1	1	1
UZ50839	1	1	0	0
UZ51149	1	1	0	0
UZ51239	1	1	0	0
UZ51345	1	1	0	0
UZ51349	1	1	0	0
UZ51405	1	1	0	0
UZ52227	1	1	1	1
UZ54567	1	1	0	0
UZ54894	1	1	0	0
UZ55093	1	1	1	1
UZ55453	1	1	1	1
UZ56324	1	1	0	0
UZ56445	1	1	1	0
UZ56759	1	1	1	0
UZ57182	1	1	0	0
UZ57201	1	1	0	0
UZ57269	1	1	0	0
UZ57298	1	1	0	0
UZ57355	1	1	0	0
UZ57385	1	1	1	0
UZ57498	1	1	1	1
UZ57526	1	1	0	0
UZ57742	1	1	0	0
UZ57911	1	1	1	0
UZ57919	1	1	1	0
UZ57920	1	1	0	0
UZ57928	1	1	0	0
UZ57937	1	1	0	0
UZ57960	1	1	0	0
UZ57962	1	1	0	0
UZ58102	1	1	0	0
UZ58146	1	1	0	0
UZ58204	1	1	0	0
UZ58220	1	1	1	1
UZ58252	1	1	0	0
UZ58273	1	1	0	0
UZ58280	1	1	0	0
UZ58305	1	1	0	0
UZ58330	1	1	0	0
UZ58382	1	1	0	0
UZ58427	1	1	0	0
UZ58603	1	1	1	1
UZ58634	1	1	0	0
UZ58751	1	1	0	0
UZ58773	1	1	0	0
UZ58823	1	1	0	0
UZ58904	1	1	0	0
UZ58916	1	1	0	0
