ptf	component	fmid	tk5_applied	tk5_accepted	on_ce	n_modules	modules
RRKF001	RAKF — RACF-compatible security (v1.2.0)	TRKF120	yes	yes	no	0	
RRKF002	RAKF — RACF-compatible security (v1.2.0)	TRKF120	yes	yes	no	0	
RRKF003	RAKF — RACF-compatible security (v1.2.0)	TRKF120	yes	yes	no	0	
RRKF004	RAKF — RACF-compatible security (v1.2.0)	TRKF120	yes	yes	no	0	
RRKF005	RAKF — RACF-compatible security (v1.2.0)	TRKF120	yes	yes	no	0	
RRKF006	RAKF — RACF-compatible security (v1.2.0)	TRKF120	yes	yes	no	0	
RRKF007	RAKF — RACF-compatible security (v1.2.0)	TRKF120	yes	no	no	0	
RRKF008	RAKF — RACF-compatible security (v1.2.0)	TRKF120	yes	no	no	0	
RRKF009	RAKF — RACF-compatible security (v1.2.0)	TRKF120	yes	no	no	0	
UR13349	SMP — System Modification Program (SMP4)	ESY1400	yes	yes	yes	3	HMASMBUR HMASMTM4 HMASMTMD
UR15994	SMP — System Modification Program (SMP4)	ESY1400	yes	yes	yes	1	HMASMTMS
UR17644	SMP — System Modification Program (SMP4)	ESY1400	yes	yes	yes	2	HMASMCPL HMASMREC
UR19590	SMP — System Modification Program (SMP4)	ESY1400	yes	yes	yes	3	HMASMDC2 HMASMSUP HMASMTPA
UY00293	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	1	IGE0904C
UY00372	XWTR — External Writer	EXW1102	yes	yes	no	1	IASXSD81
UY00729	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ICBVCR00
UY00891	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	1	IGG019PH
UY01018	DSF — Device Support Facility (ICKDSF)	FDZ1610	yes	yes	no	1	ICKBI01
UY01186	Base Control Program (BCP)	EBB1102	yes	yes	yes	0	
UY01301	Base Control Program (BCP)	EBB1102	yes	yes	yes	0	
UY01743	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFT80
UY01975	MSS — Mass Storage System	EMS1102	yes	yes	no	12	ICBVMG00 ICBVMT00 ICBVSL00 ICBVUT00 ICBVUT01 IDCCDLD IDCCDSD IDCLD01 IDCSA07 IDCSD01 IDCTSLD0 IDCTSLV0
UY02270	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IEFSD101
UY02271	Data Management	EDM1102	yes	yes	no	1	IGG019KU
UY02385	Utilities	EUT1102	yes	yes	no	1	IEBVTM
UY02859	Base Control Program (BCP)	EBB1102	yes	yes	yes	1	IEFJSDTN
UY02947	Base Control Program (BCP)	EBB1102	yes	yes	yes	1	IKJEFT05
UY03022	Data Management	EDM1102	yes	yes	no	1	IFG0232G
UY03099	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IGC0006A
UY03106	Base Control Program (BCP)	EBB1102	yes	yes	no	0	
UY03187	System Support	EST1102	yes	yes	no	0	
UY03283	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ICBVDR01
UY03346	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEBEIS
UY03471	Data Management	EDM1102	yes	yes	no	0	
UY04130	Base Control Program (BCP)	EBB1102	yes	yes	no	3	IKJEFE11 IKJEFE15 IKJEFE16
UY04882	Data Management	EDM1102	yes	yes	no	1	IDA0192Z
UY05101	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	1	IGG019MC
UY05119	MSS — Mass Storage System	EMS1102	yes	yes	no	0	
UY05260	GAM/GPS — Graphic Access Method / Graphic Program Service	EGA1102	yes	yes	no	1	IGG0193Y
UY06583	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEGQFY
UY06637	MSS — Mass Storage System	EMS1102	yes	yes	no	1	IGC0012F
UY06697	3800 Enhancements — Data Management	FDM1133	yes	yes	no	0	
UY07083	Data Management	EDM1102	yes	yes	no	1	IFG0196N
UY07104	Base Control Program (BCP)	EBB1102	yes	yes	yes	3	IKJEFLB IKJEFLJ IKJEFLK
UY07264	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEGCVT
UY07656	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJCB831
UY07976	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFF04
UY08308	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFD20
UY08628	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEGIO
UY08801	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFA55
UY08805	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEGWHR
UY09172	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFT03
UY09531	Base Control Program (BCP)	EBB1102	yes	yes	no	2	IECVEXCP IECVEXPR
UY09721	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IEFNB901
UY09934	MSS — Mass Storage System	EMS1102	yes	yes	no	1	IDCLV01
UY10582	Data Management	EDM1102	yes	yes	no	1	IDA019RP
UY10657	MVS Processor Support 2	FBB1221	yes	yes	yes	1	IECVTCCW
UY11554	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	3	IGG0193M IGG0193S IGG0194Q
UY11736	MICR/OCR	EMI1102	yes	yes	no	1	IOEDKRDR
UY11778	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFF18
UY11838	Base Control Program (BCP)	EBB1102	yes	yes	no	0	
UY11943	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IEEMB806
UY12210	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEBEAE
UY12602	XWTR — External Writer	EXW1102	yes	yes	no	2	IASFCB26 IASFCB28
UY12664	MSS — Mass Storage System	EMS1102	yes	yes	no	2	IDCCDMV IDCMV01
UY12811	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEBERU
UY13091	Base Control Program (BCP)	EBB1102	yes	yes	yes	1	IKJEFT30
UY13425	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFF09
UY13431	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFT01
UY13810	Base Control Program (BCP)	EBB1102	yes	yes	yes	1	IGC0203E
UY14400	Base Control Program (BCP)	EBB1102	yes	yes	no	1	AHLWWRIT
UY14769	Base Control Program (BCP)	EBB1102	yes	yes	no	2	IKJEFP10 IKJEFP20
UY15207	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	1	IGE0004D
UY15787	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	14	IGC0706F IGC0806F IGC0D06F IGC0E06F IGC0F06F IGC1006F IGC1106F IGC1306F IGC1406F IGG019MA IGG019MR IGG019PG IGG019PI IGG019PK
UY16087	MSS — Mass Storage System	EMS1102	yes	yes	no	1	IDCSA09
UY16532	Base Control Program (BCP)	EBB1102	yes	yes	yes	2	IKJCT430 IKJCT431
UY17021	Base Control Program (BCP)	EBB1102	yes	yes	yes	3	IKJCT433 IKJCT436 IKJEFT35
UY17414	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IFDOLT99
UY17588	Base Control Program (BCP)	EBB1102	yes	yes	yes	9	IKJEFLA IKJEFLG IKJEFLGB IKJEFLGH IKJEFLGM IKJEFLI IKJEFLL IKJEFLPA IKJEFLS
UY17760	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFP00
UY20282	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFH01
UY20289	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ICBVPR00
UY20325	XWTR — External Writer	EXW1102	yes	yes	no	1	IASXWR00
UY21852	XWTR — External Writer	EXW1102	yes	yes	no	1	IASXSD82
UY22333	Base Control Program (BCP)	EBB1102	yes	yes	no	2	IKJEFF03 IKJEFF05
UY24918	MVS Processor Support 2	FBB1221	yes	yes	no	1	IEFXB609
UY25532	Base Control Program (BCP)	EBB1102	yes	yes	no	0	
UY27599	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IEFJWTOM
UY28299	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IEFVFB
UY28452	MSS — Mass Storage System	EMS1102	yes	yes	no	1	IDCRD03
UY29952	Base Control Program (BCP)	EBB1102	yes	yes	no	3	IGC0009G IKJEGLDF IKJEGMNL
UY29953	Base Control Program (BCP)	EBB1102	yes	yes	yes	1	IKJEGLSA
UY30864	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFT02
UY31192	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IEFRPREP
UY31727	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IEFAB426
UY31757	TIOC — Terminal I/O Controller	ETI1106	yes	yes	no	1	IEDAY8
UY32723	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IEEMB803
UY32725	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IEFAB452
UY33436	MICR/OCR	EMI1102	yes	yes	no	1	IOEDKOPN
UY34388	Base Control Program (BCP)	EBB1102	yes	yes	no	0	
UY35469	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IEAVAD11
UY37061	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IGE0010E
UY38165	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ICBVTP00
UY38623	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEGLST
UY39539	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFLE
UY39686	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ISDASDA0
UY40025	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IEAVAR05
UY43678	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFTSC
UY43689	Base Control Program (BCP)	EBB1102	yes	yes	no	1	IKJEFT55
UY47701	Base Control Program (BCP)	EBB1102	yes	yes	no	1	AMDPRGET
UY49149	MICR/OCR	EMI1102	yes	yes	no	1	IOEDKWTR
UY55885	MICR/OCR	EMI1102	yes	yes	no	1	IGE0001F
UY61527	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	1	IGE0704C
UY65386	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	0	
UY74903	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	1	IECTLOPN
UY76392	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	1	IECTATEN
UY76720	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	6	IGE0204A IGE0404C IGE0604C IGG0193Q IGG0194P IGG0203M
UY77102	XF Assembler (Assembler F)	EAS1102	yes	yes	no	1	IFNX2A
UY77697	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	1	IGE0504C
UY78248	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	1	IGG0194N
UY85819	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	1	IGG019UP
UY86189	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	1	IGG019MB
UZ38207	Data Management	EDM1102	yes	yes	no	1	IGG0199F
UZ38213	Data Management	EDM1102	yes	yes	no	1	IDA019R2
UZ38262	Utilities	EUT1102	yes	yes	no	9	IEBISAM IEBISC IEBISF IEBISL IEBISMES IEBISPL IEBISSI IEBISSO IEBISU
UZ38302	Utilities	EUT1102	yes	yes	no	1	IEHPROG2
UZ38355	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ICBVIN00
UZ38392	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ICBVTP01
UZ38393	MSS — Mass Storage System	EMS1102	yes	yes	no	1	IDCVS01
UZ38395	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ICGDSS09
UZ38421	Data Management	EDM1102	yes	yes	no	1	IFG0200N
UZ38478	Data Management	EDM1102	yes	yes	no	1	IGC0002B
UZ38523	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ICB2MSG
UZ38699	Data Management	EDM1102	yes	yes	no	1	IDA019R1
UZ38763	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	0	
UZ38803	Data Management	EDM1102	yes	yes	no	1	IDCDE02
UZ38810	Data Management	EDM1102	yes	yes	no	0	
UZ38932	MSS — Mass Storage System	EMS1102	yes	yes	no	2	IDCRD06 IDCTSRD0
UZ38989	Data Management	EDM1102	yes	yes	no	1	IGG019AH
UZ38998	System Support	EST1102	yes	yes	no	2	IKJEHAL1 IKJEHPRO
UZ39009	Data Management	EDM1102	yes	yes	no	1	IDA0231T
UZ39057	MVS Processor Support 2	FBB1221	yes	yes	no	1	IFBOBR00
UZ39100	Data Management	EDM1102	yes	yes	no	1	IGC018
UZ39136	MSS — Mass Storage System	EMS1102	yes	yes	no	0	
UZ39347	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ICBMSG05
UZ39442	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ISDAAPR1
UZ39584	MSS — Mass Storage System	EMS1102	yes	yes	no	0	
UZ39631	MSS — Mass Storage System	EMS1102	yes	yes	no	0	
UZ39662	Data Management	EDM1102	yes	yes	no	0	
UZ39935	MSS — Mass Storage System	EMS1102	yes	yes	no	1	ICBVSC00
UZ40024	Data Management	EDM1102	yes	yes	no	1	IDA0200T
UZ40222	System Support	EST1102	yes	yes	no	0	
UZ40304	MSS — Mass Storage System	EMS1102	yes	yes	no	2	IDCCDMG IDCMG01
UZ40444	BTAM — Basic Telecommunications Access Method	EBT1102	yes	yes	no	0	
UZ40565	Data Management	EDM1102	yes	yes	no	1	IDA0A05B
