usermod	component	fmid	tk5_applied	tk5_accepted	on_ce	source	description
#DYP001	MVS Processor Support 2	FBB1221	yes	yes	yes	community	
#DYP002	Base Control Program (BCP)	EBB1102	yes	yes	yes	community	
#DYP003	Base Control Program (BCP)	EBB1102	yes	yes	yes	community	
#DYP004	Base Control Program (BCP)	EBB1102	yes	yes	yes	community	
#DYP005	Base Control Program (BCP)	EBB1102	yes	yes	yes	community	
AY12275	Base Control Program (BCP)	EBB1102	yes	no	yes	IBM APAR fix	(S):                                                                  OY12275 - TCTRSZ INCORRECTLY REFLECTS SIZE OF PRIVATE AREA,                               RATHER THAN REGION SIZE REQUESTED.      
M023000	Data Management	EDM1102	yes	yes	yes	3380 large-DASD support	
M023100	Base Control Program (BCP)	EBB1102	yes	yes	yes	3380 large-DASD support	
M023200	Data Management	EDM1102	yes	yes	yes	3380 large-DASD support	
M023201	Data Management	EDM1102	yes	yes	yes	3380 large-DASD support	
M023202	Data Management	EDM1102	yes	yes	yes	3380 large-DASD support	
M023203	Data Management	EDM1102	yes	yes	yes	3380 large-DASD support	
M023204	Data Management	EDM1102	yes	yes	yes	3380 large-DASD support	
M023300	Data Management Support	EDS1102	yes	yes	yes	3380 large-DASD support	
M023301	Data Management Support	EDS1102	yes	yes	yes	3380 large-DASD support	
M023302	Data Management Support	EDS1102	yes	yes	yes	3380 large-DASD support	
M023400	MVS Processor Support 2	FDS1122	yes	yes	yes	3380 large-DASD support	
M023401	MVS Processor Support 2	FDS1122	yes	yes	yes	3380 large-DASD support	
M023402	MVS Processor Support 2	FDS1122	yes	yes	yes	3380 large-DASD support	
M023403	MVS Processor Support 2	FDS1122	yes	yes	yes	3380 large-DASD support	
M023404	MVS Processor Support 2	FDS1122	yes	yes	yes	3380 large-DASD support	
M023405	MVS Processor Support 2	FDS1122	yes	yes	yes	3380 large-DASD support	
M024001	Data Management	EDM1102	yes	yes	yes	3390 large-DASD support	
M024101	Base Control Program (BCP)	EBB1102	yes	yes	yes	3390 large-DASD support	
M024205	Data Management	EDM1102	yes	yes	yes	3390 large-DASD support	
M024206	Data Management	EDM1102	yes	yes	yes	3390 large-DASD support	
M024207	Data Management	EDM1102	yes	yes	yes	3390 large-DASD support	
M024303	Data Management Support	EDS1102	yes	yes	yes	3390 large-DASD support	
