sysmod	tk5_applied	tk5_accepted	ce_applied	ce_accepted
#DYP001	1	1	1	1
#DYP002	1	1	1	1
#DYP003	1	1	1	1
#DYP004	1	1	1	1
#DYP005	1	1	1	1
AY12275	1	0	1	0
JLM0001	0	0	1	0
JLM0002	0	0	1	0
JLM0003	0	0	1	0
JLM0004	0	0	1	0
M023000	1	1	1	1
M023100	1	1	1	1
M023200	1	1	1	1
M023201	1	1	1	1
M023202	1	1	1	1
M023203	1	1	1	1
M023204	1	1	1	1
M023300	1	1	1	1
M023301	1	1	1	1
M023302	1	1	1	1
M023400	1	1	1	1
M023401	1	1	1	1
M023402	1	1	1	1
M023403	1	1	1	1
M023404	1	1	1	1
M023405	1	1	1	1
M024001	1	1	1	1
M024101	1	1	1	1
M024205	1	1	1	1
M024206	1	1	1	1
M024207	1	1	1	1
M024303	1	1	1	1
M024304	1	1	1	1
M024305	1	1	1	1
M024406	1	1	1	1
M024407	1	1	1	1
M024408	1	1	1	1
MS00100	1	0	0	0
NJE0001	0	0	1	0
RAK0001	0	0	1	0
RP00001	1	0	0	0
RP00002	1	0	0	0
RP00003	1	0	0	0
RP00004	1	0	0	0
SLB0001	1	0	1	0
SLB0002	1	0	1	0
SLB0003	1	0	0	0
SYZJ201	1	0	1	0
SYZJ202	1	0	1	0
SYZM001	1	0	1	0
TC01101	1	0	0	0
TC01303	1	0	0	0
TC01402	1	0	0	0
TC01503	1	0	0	0
TC01601	1	0	0	0
TIST801	0	0	1	0
TJES801	1	0	1	0
TMVS804	0	0	1	0
TMVS816	1	0	1	0
TMVS817	1	0	1	0
TNIP800	1	0	1	0
TTSO801	0	0	1	0
VS49603	1	0	1	0
WM00017	1	0	1	0
ZBP0003	1	0	0	0
ZBP0004	1	0	0	0
ZBP0005	1	0	0	0
ZJW0003	1	0	1	0
ZJW0004	1	0	0	0
ZJW0005	1	0	0	0
ZJW0006	1	0	0	0
ZJW0007	1	0	0	0
ZJW0008	1	0	0	0
ZJW0009	1	0	0	0
ZJW0010	1	0	0	0
ZJW0011	0	1	0	0
ZJW0012	1	0	0	0
ZP60001	0	0	1	0
ZP60002	0	0	1	0
ZP60003	1	0	1	0
ZP60004	1	0	1	0
ZP60005	1	0	1	0
ZP60006	1	0	1	0
ZP60007	1	0	1	0
ZP60008	1	0	1	0
ZP60009	1	0	1	0
ZP60011	1	0	1	0
ZP60012	1	0	1	0
ZP60013	1	0	1	0
ZP60014	1	0	1	0
ZP60015	1	0	1	0
ZP60016	1	0	1	0
ZP60017	1	0	1	0
ZP60018	1	0	1	0
ZP60019	1	0	1	0
ZP60020	1	0	1	0
ZP60021	1	0	1	0
ZP60022	1	0	1	0
ZP60023	1	0	0	0
ZP60024	1	0	0	0
ZP60025	1	0	1	0
ZP60026	1	0	1	0
ZP60027	1	0	1	0
ZP60028	1	0	1	0
ZP60029	1	0	1	0
ZP60030	1	0	1	0
ZP60031	1	0	1	0
ZP60032	1	0	1	0
ZP60033	1	0	1	0
ZP60034	1	0	1	0
ZP60035	1	0	1	0
ZP60036	1	0	1	0
ZP60037	1	0	1	0
ZP60038	1	0	1	0
ZP60039	1	0	1	0
ZP60040	1	0	1	0
ZP60041	1	0	1	0
ZP60042	1	0	1	0
ZP60043	1	0	1	0
ZP60044	1	0	0	0
ZUM0001	1	0	0	0
ZUM0002	1	0	0	0
ZUM0005	1	0	0	0
ZUM0007	1	0	1	0
ZUM0008	0	0	1	0
ZUM0014	1	0	0	0
ZUM0015	1	0	0	0
