# Identity moves, archive -> applied (AMVSSRC after run 6). TK5 DLIB object.
# module	dlib	move	diff_bytes_archive	diff_bytes_applied
AHLTCTL1	AOS11	LOST	0	480
AKJLKMSG	ACMDLIB	LOST	0	0
AMASPZAP	AOS12	LOST	0	2149
AMDPRECT	AOS12	LOST	0	15
AMDPRFAR	AOS12	LOST	0	7
BLSCABLD	AOS32	LOST	0	0
BLSRADD3	AOS32	LOST	0	0
BLSRIOSK	AOS32	LOST	0	0
BLSRVECT	AOS32	LOST	0	0
BLST05	AOS32	GAINED	2	0
BLSTC	AOS32	GAINED	2	0
BLSTM4	AOS32	GAINED	4	0
BLSTM5	AOS32	GAINED	4	0
BLSTU4	AOS32	GAINED	4	0
BLSTU5	AOS32	GAINED	4	0
BLSUINI2	AOS32	LOST	0	0
BLSUMONL	AOS32	LOST	0	0
BLSUTSO	AOS32	LOST	0	0
BLSUVP31	AOS32	LOST	0	4
GENRMT	AOSH1	GAINED	8	0
HMASMCIL	AOS12	GAINED	324	0
HMASMCOM	AOS12	GAINED	0	0
HMASMGTA	AOS12	GAINED	16	0
HMASMRDS	AOS12	GAINED	4	0
ICKTSAN0	AOSU0	GAINED	1	0
IDCCDAL	AOSU0	GAINED	3	0
IDCTSTP0	AOSU0	GAINED	11	0
IEATLEXT	AOS00	GAINED	144	0
IEAVEIO	AOSC5	GAINED	4	0
IEAVEPCR	AOSC5	GAINED	6	0
IEAVRTOD	AOSC5	LOST	0	12
IEAVTFTM	AOSC5	LOST	0	0
IEBMCM	AOSU0	LOST	0	0
IEBVDM	AOSU0	LOST	0	0
IEBVMS	AOSU0	LOST	0	0
IEEMB878	AOSB3	LOST	0	1
IEHDMSGS	AOSU0	LOST	0	0
IEHDSCAN	AOSU0	LOST	0	8
IFCETUL1	AOSCD	LOST	0	130
IFCSCHAR	AOSCD	GAINED	1	0
IFCSXXX4	AOSCD	LOST	0	0
IFCSXXX6	AOSCD	LOST	0	0
IFDMSG00	AOS06	LOST	0	3
IGC0308B	AOSU0	LOST	0	0
IGCT010E	AOSD0	GAINED	1	0
IGG019P8	AOSU0	LOST	0	0
IGG08116	AOSD0	GAINED	1	0
IGG1PN	AOSD0	GAINED	16	0
IGG1QN	AOSD0	GAINED	4	0
IGG1QNC	AOSD0	GAINED	4	0
IGG1SN	AOSD0	GAINED	14	0
IGG2G11	AOSD0	GAINED	32	0
IGG2P11	AOSD0	GAINED	16	0
IGG3PN	AOSD0	GAINED	8	0
IGG3QN	AOSD0	GAINED	2	0
IGG3QNC	AOSD0	GAINED	2	0
IGG3TN	AOSD0	GAINED	4	0
IKJCT432	AOST4	LOST	0	0
IKJEBEAA	ACMDLIB	LOST	0	0
IKJEBECH	ACMDLIB	LOST	0	0
IKJEBESC	ACMDLIB	LOST	0	3860
IKJEFA42	ACMDLIB	LOST	0	1
IKJEFD33	AOST4	LOST	0	0
IKJRBBCM	AOST4	LOST	0	3
IKTCAS54	AOST3	LOST	0	6
ISTCFMMI	AOS26	LOST	0	91
ISTINCD7	AOS26	LOST	0	179
ISTINCOS	AOS26	LOST	0	1
ISTINMAV	AOS26	LOST	0	7
ISTSDCSU	AOS26	LOST	0	105
SYS3CNVT	AOSH1	GAINED	2	0
USRDDT00	AOSC5	GAINED	0	0
