module	dlib	verdict	sections	diff_bytes	length_differs	diff_in_holes	diff_in_text
AHLCWRIT	AOS11	differs	1	0	Y	0	0
AHLDMPMD	AOS11	no-deck	0	-1		0	0
AHLGTFI	AOS11	differs	1	0	Y	0	0
AHLIWRIT	AOS11	differs	1	0	Y	0	0
AHLMCER	AOS11	differs	3	0	Y	0	0
AHLMCIH	AOSC5	identical	1	0	N	0	0
AHLREADR	AOS11	differs	2	23	N	8	15
AHLSBLOK	AOS11	differs	1	15	N	0	15
AHLSBUF	AOS11	differs	1	0	Y	0	0
AHLSCAN	AOS11	holes	1	110	N	110	0
AHLSETD	AOS11	differs	1	17	N	2	15
AHLSETEV	AOS11	differs	1	0	Y	0	0
AHLSETMG	AOS11	holes	1	2	N	2	0
AHLT103	AOS11	differs	1	0	Y	0	0
AHLTCTL1	AOS11	identical	1	0	N	0	0
AHLTCTL2	AOS11	identical	1	0	N	0	0
AHLTDIR	AOS11	differs	1	0	Y	0	0
AHLTDSP	AOS11	no-deck	0	-1		0	0
AHLTEXT	AOS11	differs	1	27	N	10	17
AHLTFOR	AOS11	identical	1	0	N	0	0
AHLTIO	AOS11	no-deck	0	-1		0	0
AHLTLSR	AOS11	no-deck	0	-1		0	0
AHLTMMSG	AOS11	holes	1	16	N	16	0
AHLTMON	AOS11	differs	1	0	Y	0	0
AHLTPI	AOS11	no-deck	0	-1		0	0
AHLTPID	AOS11	differs	1	0	Y	0	0
AHLTPMT	AOS11	differs	1	0	Y	0	0
AHLTSCN	AOS11	differs	1	0	Y	0	0
AHLTSIO	AOS11	differs	1	0	Y	0	0
AHLTSIO1	AOS11	no-deck	0	-1		0	0
AHLTSLIP	AOS11	differs	1	0	Y	0	0
AHLTSRB	AOS11	no-deck	0	-1		0	0
AHLTSVC	AOS11	differs	1	0	Y	0	0
AHLTSYFL	AOS11	differs	1	21	N	4	17
AHLTSYSM	AOS11	differs	1	0	Y	0	0
AHLTTAB	AOS11	holes	1	325	N	325	0
AHLTUIO	AOS11	no-deck	0	-1		0	0
AHLTUSR	AOS11	differs	1	0	Y	0	0
AHLTVTAM	AOS11	identical	1	0	N	0	0
AHLTXSYS	AOS11	identical	1	0	N	0	0
AHLVCOFF	AOS11	differs	1	30	N	6	24
AHLVCON	AOS11	differs	1	0	Y	0	0
AHLWRMSG	AOS11	holes	1	11	N	11	0
AHLWTASK	AOS11	differs	1	0	Y	0	0
AHLWTMSG	AOS11	holes	1	6	N	6	0
AHLWTO	AOS11	differs	1	0	Y	0	0
AHLWTOMD	AOS11	no-deck	0	-1		0	0
AHLWWRIT	AOS11	differs	1	0	Y	0	0
AKJLKMSG	ACMDLIB	identical	1	0	N	0	0
AMAPTF01	AOS12	holes	1	395	N	395	0
AMAPTF02	AOS12	holes	1	1	N	1	0
AMAPTFLE	AOS12	holes	1	958	N	958	0
AMASPZAP	AOS12	identical	4	0	N	0	0
AMBLKCTL	AOS12	no-deck	0	-1		0	0
AMBLKERR	AOS12	no-deck	0	-1		0	0
AMBLKIDR	AOS12	no-deck	0	-1		0	0
AMBLKLDM	AOS12	no-deck	0	-1		0	0
AMBLKLPA	AOS12	no-deck	0	-1		0	0
AMBLKMSG	AOS12	no-deck	0	-1		0	0
AMBLKOBJ	AOS12	no-deck	0	-1		0	0
AMBLKSZE	AOS12	no-deck	0	-1		0	0
AMBLKXRF	AOS12	no-deck	0	-1		0	0
AMDPRAPP	AOS12	differs	1	0	Y	0	0
AMDPRCOM	AOS12	differs	7	1	Y	0	1
AMDPRCTL	AOS12	differs	4	0	Y	0	0
AMDPRCVT	AOS12	differs	1	0	Y	0	0
AMDPRDPS	AOS12	differs	1	0	Y	0	0
AMDPREAD	AOS12	differs	1	0	Y	0	0
AMDPRECT	AOS12	identical	1	0	N	0	0
AMDPREID	AOS12	identical	1	0	N	0	0
AMDPREXT	AOS12	holes	1	479	N	479	0
AMDPRFAR	AOS12	identical	1	0	N	0	0
AMDPRFCB	AOS12	differs	6	29	Y	29	0
AMDPRFDS	AOS12	differs	1	0	Y	0	0
AMDPRFLT	AOS12	differs	1	0	Y	0	0
AMDPRFMG	AOS12	differs	1	15	N	0	15
AMDPRFMT	ALPALIB	differs	1	0	Y	0	0
AMDPRFRM	AOS12	differs	1	0	Y	0	0
AMDPRFSC	AOS12	holes	1	189	N	189	0
AMDPRFSR	AOS12	no-deck	0	-1		0	0
AMDPRFUB	AOS12	differs	1	0	Y	0	0
AMDPRFXT	AOS12	identical	1	0	N	0	0
AMDPRGCD	AOS12	differs	1	0	Y	0	0
AMDPRGET	AOS12	differs	1	0	Y	0	0
AMDPRLOD	AOS12	differs	1	0	Y	0	0
AMDPRLPA	AOS12	differs	2	0	N	0	0
AMDPRMST	AOS12	differs	3	326	Y	4	322
AMDPRNUC	AOS12	holes	1	55	N	55	0
AMDPROOT	AOS12	holes	1	599	N	599	0
AMDPRPCR	AOS12	holes	1	108	N	108	0
AMDPRPJB	AOS12	holes	2	204	N	204	0
AMDPRPMG	AOS12	holes	1	22	N	22	0
AMDPRPMS	AOS12	holes	2	443	N	443	0
AMDPRQCB	AOS12	differs	1	0	Y	0	0
AMDPRRDC	AOS12	differs	2	0	Y	0	0
AMDPRREC	AOS12	differs	1	0	Y	0	0
AMDPRSCN	AOS12	differs	1	0	Y	0	0
AMDPRSEG	AOS12	differs	1	0	Y	0	0
AMDPRSMG	AOS12	holes	1	10	N	10	0
AMDPRSN2	AOS12	differs	1	0	Y	0	0
AMDPRSN3	AOS12	differs	1	0	Y	0	0
AMDPRSUM	AOS12	differs	1	0	Y	0	0
AMDPRUIM	AOS12	differs	2	8	Y	8	0
AMDSAAID	AOS12	holes	1	80	N	80	0
AMDSAAMR	AOS12	identical	1	0	N	0	0
AMDSAARD	AOS12	holes	1	146	N	146	0
AMDSAASM	AOS12	holes	1	3	N	3	0
AMDSAAUD	AOS12	differs	1	0	Y	0	0
AMDSABUF	AOS12	holes	1	82	N	82	0
AMDSACON	AOS12	differs	1	0	Y	0	0
AMDSACSA	AOS12	holes	1	58	N	58	0
AMDSADER	AOS12	holes	1	113	N	113	0
AMDSAFRM	AOS12	holes	1	5	N	5	0
AMDSAGTF	AOS12	holes	1	100	N	100	0
AMDSAGTM	AOS12	holes	1	9	N	9	0
AMDSAIOI	AOS12	differs	1	0	Y	0	0
AMDSALDR	AOS12	differs	1	0	Y	0	0
AMDSAMDM	AOS12	holes	1	276	N	276	0
AMDSAMSG	AOS12	holes	1	11	N	11	0
AMDSAPGE	AOS12	holes	1	61	N	61	0
AMDSAPGI	AOS12	identical	1	0	N	0	0
AMDSAPRO	AOS12	differs	1	259	N	0	259
AMDSARSM	AOS12	identical	1	0	N	0	0
AMDSASIN	AOS12	holes	1	182	N	182	0
AMDSASIO	AOS12	differs	1	0	Y	0	0
AMDSASVI	AOS12	holes	1	78	N	78	0
AMDSATAP	AOS12	differs	1	0	Y	0	0
AMDSATER	AOS12	differs	1	0	Y	0	0
AMDSATXT	AOS12	holes	1	20	N	20	0
AMDSAUCB	AOS12	differs	1	0	Y	0	0
AMDSAUPD	AOS12	holes	1	67	N	67	0
AMDSAVCK	AOS12	holes	1	30	N	30	0
AMDSAWAT	AOS12	holes	1	91	N	91	0
AMDSYS00	AOS12	differs	1	0	Y	0	0
AMDSYS01	AOS12	differs	1	0	Y	0	0
AMDSYS02	AOS12	differs	1	40	N	31	9
AMDSYS03	AOS12	differs	1	0	Y	0	0
AMDSYS04	AOS12	differs	1	0	Y	0	0
AMDSYS05	AOS12	differs	1	0	Y	0	0
AMDSYS06	AOS12	identical	1	0	N	0	0
AMDUSRF9	ALPALIB	differs	1	3	N	0	3
AMDUSRFD	AOS24	differs	1	0	Y	0	0
AMDUSRFE	ALPALIB	identical	1	0	N	0	0
AMDUSRFF	AOSD0	no-deck	0	-1		0	0
ANLZ	AOSG0	no-deck	0	-1		0	0
BCNV	AOS07	no-deck	0	-1		0	0
BLSCAAMS	AOS32	identical	1	0	N	0	0
BLSCABLD	AOS32	identical	1	0	N	0	0
BLSCADST	AOS32	identical	1	0	N	0	0
BLSCADYN	AOS32	differs	1	12	N	0	12
BLSCAINT	AOS32	differs	1	11	N	0	11
BLSCALOC	AOS32	differs	1	7	N	0	7
BLSCAMER	AOS32	identical	1	0	N	0	0
BLSCAMIN	AOS32	identical	1	0	N	0	0
BLSCAMOD	AOS32	differs	1	0	Y	0	0
BLSCAMPR	AOS32	identical	1	0	N	0	0
BLSCANAL	AOS32	identical	1	0	N	0	0
BLSCANLE	AOS32	differs	1	7	N	0	7
BLSCANLI	AOS32	identical	1	0	N	0	0
BLSCCLSE	AOS32	identical	1	0	N	0	0
BLSCENDD	AOS32	differs	1	20	N	0	20
BLSCERSE	AOS32	differs	1	165	N	1	164
BLSCFAMS	AOS32	identical	1	0	N	0	0
BLSCFDYN	AOS32	differs	1	14	N	0	14
BLSCFREE	AOS32	identical	1	0	N	0	0
BLSCGETT	AOS32	differs	1	481	N	0	481
BLSCGMF	AOS32	identical	1	0	N	0	0
BLSCHOK	AOS32	identical	1	0	N	0	0
BLSCOPEN	AOS32	differs	1	17	N	2	15
BLSCPOIN	AOS32	differs	1	136	N	0	136
BLSCPUTT	AOS32	differs	1	0	Y	0	0
BLSCRECV	AOS32	identical	1	0	N	0	0
BLSCRFM	AOS32	identical	1	0	N	0	0
BLSCRQST	AOS32	identical	1	0	N	0	0
BLSCRTCB	AOS32	identical	1	0	N	0	0
BLSCSETT	AOS32	identical	1	0	N	0	0
BLSCVALT	AOS32	identical	1	0	N	0	0
BLSDADSD	AOS32	holes	1	12	N	12	0
BLSDAPDR	AOS32	holes	1	8	N	8	0
BLSDC070	AOS32	identical	1	0	N	0	0
BLSDC128	AOS32	identical	1	0	N	0	0
BLSDC600	AOS32	identical	1	0	N	0	0
BLSDDEQP	AOS32	identical	1	0	N	0	0
BLSDDT00	AOS32	identical	1	0	N	0	0
BLSDENQ0	AOS32	identical	1	0	N	0	0
BLSDENQP	AOS32	identical	1	0	N	0	0
BLSDFDSD	AOS32	identical	1	0	N	0	0
BLSDFPDR	AOS32	identical	1	0	N	0	0
BLSDIFP0	AOS32	differs	2	15	N	0	15
BLSDMSG0	AOS32	identical	1	0	N	0	0
BLSDMSGS	AOS32	differs	1	392	N	384	8
BLSDPC00	AOS32	identical	1	0	N	0	0
BLSDSTAE	AOS32	differs	1	7	N	0	7
BLSDSV00	AOS32	identical	1	0	N	0	0
BLSDTIME	AOS32	identical	1	0	N	0	0
BLSDTM00	AOS32	identical	1	0	N	0	0
BLSDVECT	AOS32	identical	1	0	N	0	0
BLSDWAIT	AOS32	identical	1	0	N	0	0
BLSEADP1	AOS32	differs	1	8	N	0	8
BLSEADPR	AOS32	differs	2	3	N	0	3
BLSEAUTH	AOS32	identical	1	0	N	0	0
BLSEDEL0	AOS32	identical	2	0	N	0	0
BLSEDEL1	AOS32	identical	1	0	N	0	0
BLSEDELC	AOS32	identical	1	0	N	0	0
BLSELP00	AOS32	identical	2	0	N	0	0
BLSELPCC	AOS32	identical	1	0	N	0	0
BLSELPCL	AOS32	identical	1	0	N	0	0
BLSELPCT	AOS32	identical	1	0	N	0	0
BLSELPDR	AOS32	holes	1	7	N	7	0
BLSELPDS	AOS32	identical	1	0	N	0	0
BLSELPFM	AOS32	identical	1	0	N	0	0
BLSELPFR	AOS32	identical	1	0	N	0	0
BLSELPOP	AOS32	identical	1	0	N	0	0
BLSEMDP1	AOS32	identical	1	0	N	0	0
BLSEMDPR	AOS32	identical	2	0	N	0	0
BLSFAD00	AOS32	identical	2	0	N	0	0
BLSFAV00	AOS32	identical	1	0	N	0	0
BLSFBP00	AOS32	identical	1	0	N	0	0
BLSFCLOS	AOS32	identical	1	0	N	0	0
BLSFCN00	AOS32	identical	1	0	N	0	0
BLSFCONF	AOS32	identical	1	0	N	0	0
BLSFDALL	AOS32	identical	1	0	N	0	0
BLSFDD00	AOS32	identical	1	0	N	0	0
BLSFDDDP	AOS32	identical	1	0	N	0	0
BLSFDEL	AOS32	identical	1	0	N	0	0
BLSFDERS	AOS32	identical	1	0	N	0	0
BLSFDF00	AOS32	identical	1	0	N	0	0
BLSFDS00	AOS32	identical	1	0	N	0	0
BLSFERAS	AOS32	identical	1	0	N	0	0
BLSFFL00	AOS32	identical	1	0	N	0	0
BLSFFP00	AOS32	identical	1	0	N	0	0
BLSFGD00	AOS32	identical	1	0	N	0	0
BLSFGG00	AOS32	identical	1	0	N	0	0
BLSFGP00	AOS32	identical	1	0	N	0	0
