module	dlib	verdict	sections	diff_bytes	length_differs	diff_in_holes	diff_in_text
AHLCWRIT	AOS11	differs	1	0	Y	0	0
AHLGTFI	AOS11	differs	1	0	Y	0	0
AHLIWRIT	AOS11	differs	1	0	Y	0	0
AHLMCER	AOS11	differs	3	0	Y	0	0
AHLMCIH	AOSC5	identical	1	0	N	0	0
AHLREADR	AOS11	differs	2	23	N	8	15
AHLSBLOK	AOS11	differs	1	15	N	0	15
AHLSBUF	AOS11	differs	1	0	Y	0	0
AHLSCAN	AOS11	holes	1	110	N	110	0
AHLSETD	AOS11	differs	1	17	N	2	15
AHLSETMG	AOS11	holes	1	2	N	2	0
AHLT103	AOS11	differs	1	0	Y	0	0
AHLTCTL1	AOS11	differs	1	480	N	4	476
AHLTCTL2	AOS11	identical	1	0	N	0	0
AHLTDIR	AOS11	differs	1	0	Y	0	0
AHLTEXT	AOS11	differs	1	27	N	10	17
AHLTFOR	AOS11	identical	1	0	N	0	0
AHLTMMSG	AOS11	holes	1	16	N	16	0
AHLTMON	AOS11	differs	1	0	Y	0	0
AHLTPID	AOS11	differs	1	0	Y	0	0
AHLTPMT	AOS11	differs	1	0	Y	0	0
AHLTSCN	AOS11	differs	1	0	Y	0	0
AHLTSIO	AOS11	differs	1	0	Y	0	0
AHLTSLIP	AOS11	differs	1	0	Y	0	0
AHLTSVC	AOS11	differs	1	0	Y	0	0
AHLTSYFL	AOS11	differs	1	21	N	4	17
AHLTSYSM	AOS11	differs	1	0	Y	0	0
AHLTTAB	AOS11	holes	1	325	N	325	0
AHLTUSR	AOS11	differs	1	0	Y	0	0
AHLTVTAM	AOS11	identical	1	0	N	0	0
AHLTXSYS	AOS11	identical	1	0	N	0	0
AHLVCOFF	AOS11	differs	1	30	N	6	24
AHLVCON	AOS11	differs	1	0	Y	0	0
AHLWRMSG	AOS11	holes	1	11	N	11	0
AHLWTASK	AOS11	differs	1	0	Y	0	0
AHLWTMSG	AOS11	holes	1	6	N	6	0
AHLWTO	AOS11	differs	1	0	Y	0	0
AHLWWRIT	AOS11	differs	1	0	Y	0	0
AKJLKMSG	ACMDLIB	differs	1	0	Y	0	0
AMAPTF01	AOS12	holes	1	395	N	395	0
AMAPTF02	AOS12	holes	1	1	N	1	0
AMASPZAP	AOS12	differs	4	2149	Y	38	2111
AMDPRAPP	AOS12	differs	1	0	Y	0	0
AMDPRCTL	AOS12	differs	4	0	Y	0	0
AMDPRCVT	AOS12	differs	1	0	Y	0	0
AMDPRDPS	AOS12	differs	1	0	Y	0	0
AMDPREAD	AOS12	differs	1	0	Y	0	0
AMDPRECT	AOS12	identical	1	0	N	0	0
AMDPREID	AOS12	identical	1	0	N	0	0
AMDPREXT	AOS12	holes	1	479	N	479	0
AMDPRFAR	AOS12	differs	1	7	N	0	7
AMDPRFDS	AOS12	differs	1	0	Y	0	0
AMDPRFLT	AOS12	differs	1	0	Y	0	0
AMDPRFMG	AOS12	differs	1	15	N	0	15
AMDPRFMT	ALPALIB	differs	1	0	Y	0	0
AMDPRFRM	AOS12	differs	1	0	Y	0	0
AMDPRFSC	AOS12	holes	1	189	N	189	0
AMDPRFUB	AOS12	differs	1	0	Y	0	0
AMDPRFXT	AOS12	holes	1	2	N	2	0
